Fork Name,Publication Title,High Income Co-authors 2017,Low Income Co-authors 2017,Total Co-authors 2017,High Income Co-authors 2023,Low Income Co-authors 2023,Total Co-authors 2023
"Brandon Michael Henry, MD",Age and sex variation of SARS-CoV-2 cycle threshold value during prevalence of Omicron BA. 5 sublineage,,,,3,0,3
"Brandon Michael Henry, MD",Anatomical variability and histological structure of the ulnar nerve in the Guyonâ€™s canal,3,0,3,,,
"Brandon Michael Henry, MD",Anatomical variations of the inferior thyroid artery: a cadaveric examination,7,0,7,,,
"Brandon Michael Henry, MD",Antithrombin III infusion improves anticoagulation in congenital diaphragmatic hernia patients on extracorporeal membrane oxygenation,,,,2,0,2
"Brandon Michael Henry, MD",Are anti-SARS-CoV-2 S/N IgG/IgM antibodies always predictive of previous SARS-CoV-2 infection?,,,,3,0,3
"Brandon Michael Henry, MD",Assessment of humoral and cellular immunity after bivalent BNT162b2 vaccination and potential association with reactogenicity,,,,4,0,4
"Brandon Michael Henry, MD","C. Braz, R. Castro-Ferreira, P. Dias, S. Sampaio, J. Teixeira Faculdade de Medicina da Universidade do Porto, Portugal E-mail address: carolina. c. braz@ gmail. com",1,0,1,,,
"Brandon Michael Henry, MD",Can cellular and humoral immunity predict response to BNT162b2 bivalent booster?,,,,3,0,3
"Brandon Michael Henry, MD",Cellular immunity against SARS-CoV-2 depends on the serological status,,,,3,0,3
"Brandon Michael Henry, MD",Characteristics of Phase IV clinical trials in oncology: an analysis using the ClinicalTrials. gov registry data,,,,4,0,4
"Brandon Michael Henry, MD",Clinical assessment of SNIBE Maglumi SARS-CoV-2 antigen fully-automated chemiluminescent immunoassay,,,,3,0,3
"Brandon Michael Henry, MD",Congenital absence of the palmaris longus muscle: A meta-analysis comparing cadaveric and functional studies,4,0,4,,,
"Brandon Michael Henry, MD",Correlation between relative age-standardized mortality rates and COVID-19 mortality over time in Italy,,,,3,0,3
"Brandon Michael Henry, MD",Cost-effectiveness analysis of different COVID-19 screening strategies based on rapid or laboratory-based SARS-CoV-2 antigen testing,,,,6,0,6
"Brandon Michael Henry, MD",Discontinuity of marginal artery at splenic flexure and rectosigmoid junction: A systematic review and metaâ€analysis,,,,14,0,14
"Brandon Michael Henry, MD",Early kinetics of cellular immunity in recipients of bivalent BNT162b2 vaccine: a proof-of-concept study,,,,3,0,3
"Brandon Michael Henry, MD",Effects of Different Types of Recombinant SARS-CoV-2 Spike Protein on Circulating Monocytes Structure (preprint),,,,6,0,6
"Brandon Michael Henry, MD",Effects of Different Types of Recombinant SARS-CoV-2 Spike Protein on Circulating Monocytesâ€™ Structure,,,,6,0,6
"Brandon Michael Henry, MD",Estimating the worldwide burden of health loss due to hearing loss,,,,3,0,3
