Fork Name,Publication Title,Diversity Score 2017,Diversity Score 2023
A. Fahim Habib,An assessment of the natural radioactivity distribution and radiation hazard in soil samples from Qatar using high-resolution gamma-ray spectrometry,0.181818182,0
A. Fahim Habib,First measurements of Trojan Horse injection in a plasma wakefield accelerator,0.222222222,0
A. Fahim Habib,Horizon 2020 EuPRAXIA design study,0.013986014,0
A. Fahim Habib,JACoW: First Measurements of Trojan Horse Injection in a Plasma Wakefield Accelerator,0.4,0
A. Fahim Habib,Plasma-optical spatiotemporal diagnostics and alignment for electron and laser beams,0.2,0
A. Fahim Habib,Simulation results for PLATO: a prototype hybrid X-ray photon counting detector with a low energy threshold for fusion plasma diagnostics,0,0
A. Fahim Habib,Single-stage plasma-based correlated energy spread compensation for ultrahigh 6D brightness electron beams,0.153846154,0
A. Fahim Habib,Ultrahigh 6D-brightness electron beams for the light sources of the next generation,1,0
Adel Bassily-Marcus,A rare case of disseminated Trichosporon asahii infection after orthotopic liver transplant,0.857142857,0
Adel Bassily-Marcus,Continous Respiratory Monitoring of Nonintubated Patients Outside the ICU: ETCO2+ Oximetry vs Respiratory Volume Monitoring,0.666666667,0
Adel Bassily-Marcus,Critical care management and intensive care unit outcomes following cytoreductive surgery with hyperthermic intraperitoneal chemotherapy,0.888888889,0
Adel Bassily-Marcus,Hemophagocytic Lymphohistiocytosis: An Under Recognized But Fatal Disease,1,0
Andre Holder,Early sepsis detection in critical care patients using multiscale blood pressure and heart rate dynamics,0.5,0
Andre Holder,Measuring Fellows' Willingness to Challenge Authority Using an Objective Structured Clinical Examination,0.666666667,0
Andre Holder,Serial daily organ failure assessment beyond ICU day 5 does not independently add precision to ICU risk-of-death prediction,1,0
Anis Davoudi,Anesthesia Instrument Recognition System.,0.666666667,0
Anis Davoudi,Delirium prediction using machine learning models on predictive electronic health records data,0.8,0
Anis Davoudi,Power-efficient real-time approach to non-wear time detection for smartwatches,1,0
Anoop Mayampurath,Abstract 124,0.266666667,0
Anoop Mayampurath,"Febrile Neutropenia Syndromes in Children: Should Management Differ for Primary, Persistent, Recurrent or Engraftment Fever?",0,0
Anoop Mayampurath,IP123. Gender Differences in Carotid Artery Restenosis Rates Following Surgical Intervention,1,0
Chenyue Lu,Z cells activated by zinc finger-like protein and uses thereof in cancer treatment,0.5,0
Donna Lee Armaignac,Hurricane Irma–‘No’Clinical Impact,0.8,0
Donna Lee Armaignac,Irma-No Clinical Impact,0,0
Donna Lee Armaignac,Positive Impact of Tele-ICU Monitoring on Hospital Mortality and Cost Among Patients in Progressive Care With Cardiovascular Disease: Experience From a Large Healthcare System,0.666666667,0
Donna Lee Armaignac,Presentation#: V10-01: Teletriage: Application of a Tele-ICU Infrastructure to Enhance Patient Care Experience in the Emergency Department,0,0
Eduardo Mireles-Cabodevila,Feasibility of mid-frequency ventilation among infants with respiratory distress syndrome,0,0
Eduardo Mireles-Cabodevila,Modeling of lung function recovery in neuralgic amyotrophy with diaphragm impairment,0,0
Eduardo Mireles-Cabodevila,"Neuromuscular weakness in chronic obstructive pulmonary disease: chest wall, diaphragm, and peripheral muscle contributions",0,0
Eduardo Mireles-Cabodevila,On the need for standard definitions and education to optimize patient-ventilator interactions,1,0
Eduardo Mireles-Cabodevila,Revisiting ultrasound-guided subclavian/axillary vein cannulations: importance of pleural avoidance with rib trajectory,0.666666667,0
Eduardo Mireles-Cabodevila,Sleep in amyotrophic lateral sclerosis,0,0
Keiko Kunitoki,Mean diffusivity of basal ganglia and thalamus specifically associated with motivational states among mood states,0.933333333,0
Keiko Kunitoki,The VEGF gene polymorphism impacts brain volume and arterial blood volume,0.842105263,0
Keiko Kunitoki,The anterior midcingulate cortex as a neural node underlying hostility in young adults,0.875,0
Marilyn Schallom,A novel ICU hand-over tool: the glass door of the patient room,1,0
Marilyn Schallom,Improving caregivers’ perceptions regarding patient goals of care/end-of-life issues for the multidisciplinary critical care team,1,0
Marilyn Schallom,Pressure injuries in critical care: a survey of critical care nurses,0,0
Marilyn Schallom,Retrospective review of postoperative glycemic control in patients after distal pancreatectomy,0,0
Mary E. Lough,Cardiovascular diagnostic procedures,0,0
Melissa L. Thompson Bastin,Acute hepatotoxicity after high-dose cytarabine for the treatment of relapsed acute myeloid leukemia: a case report,1,0
Melissa L. Thompson Bastin,C50 CRITICAL CARE: NON-PULMONARY CRITICAL CARE PROBLEMS: Hemodynamic Instability Following Vasopressin Withdrawal In Septic Shock,0,0
