orcid,type,name,gender,latitude,longitude,affiliation,cr_highest_degree,organization,department,institution_name,institution_place,institution_department,orcid_cr_combined_department,google_scholar_affiliation,google_scholar_name,gs_parsed_highest_degree,
0000-0002-3851-1047,co_author,Purav Shah,male,51.5902971,-0.2296322,Middlesex University,MD,Icahn School of Medicine at Mount Sinai St. Luke's - West hospital,Internal Medicine,,,,Internal Medicine,Middlesex University London,Purav Shah,,
0000-0003-1616-1805,co_author,Q Zhang,female,39.9409743,116.2978139,Beijing University of Chemical Technology,Master of Science,,Electrical and Computer Engineering,"Iowa State University, Digital Repository",Ames,Electrical and Computer Engineering,Electrical and Computer Engineering,Coherent Corp.,Qiang Zhang,,"Master of Science, Electrical and Computer Engineering"
0000-0002-4438-702X,co_author,Qi Tang,female,30.537354,114.3615203,Wuhan University,,,,University of Rhode Island,"Kingston, RI",,,Lawrence Livermore National Laboratory,Qi Tang,,
0000-0002-7491-6746,co_author,Qi Zhang,female,40.0022905,116.320963,Tsinghua University,postdoctor,,,Nanyang Technological University,,,,Shanghai Jiao Tong University,Zhang Qi,,
0009-0000-3895-7084,co_author,Qianying Xu,male,32.285869,-106.74746,The University of New Mexico,Doctor of Philosophy (PhD),,Tippie College of Business,University of Iowa,"Iowa City, IA, United States",Tippie College of Business,Tippie College of Business,University of New Mexico,Emma Qianying Xu,,
0000-0002-5832-0109,co_author,Qiao Li,male,30.5202172,114.4118463,Huazhong University of Science and Technology,Ph.D,University of Electronic Science and Technology of China School of Electronic Science and Engineering,School of Physics,,,,School of Physics,"Department of Electronics and Electrical Engineering, National Yang Ming Chiao Tung University",Yiming Li,,"Bachelor's degree, Optical Information science and Technology"
0000-0002-6379-9564,co_author,Qin Liu,male,24.4399419,118.0930178,Xiamen University,Master of Science,,,SLAC National Accelerator Laboratory (SLAC),"Menlo Park, CA (United States)",,,"Chair Professor, Eastern Institute of Technology, Ningbo (EIT), China",Qing Huo Liu,professor,
0000-0001-9357-0878,co_author,Qin Qin,male,28.183548,112.941375,Hunan University,,,,,,,,"Senior Investigator, National Cancer Institute",Qing Lan,,
0000-0002-0398-2869,co_author,Qing Zhu,male,34.36594,-89.52536,Beijing Information Science & Technology University,Master of Science in Real Estate and Construction,,Funding,US Dept of the Army,,Funding,Funding,South China University of Technology,Qing-Xin Chu,,Master of Science in Real Estate and Construction
0000-0002-2293-1805,co_author,Qingchu Jin,male,39.3271665,-76.6199049,Whiting School of Engineering,PhD,Johns Hopkins University,"School of Medicine, Department of Biomedical Engineering",bioRxiv,,,"School of Medicine, Department of Biomedical Engineering",,,,
0000-0003-3760-576X,co_author,Qinglin Li,male,36.0563565,103.7744162,Lanzhou University of Technology,,,,,,,,Ministry of Forests,Qinglin  Li,,
0000-0002-0132-1194,co_author,Qingyi Wang,female,30.5253902,114.3938048,China University of Geosciences,,,,Nanyang Technological University,,,,MIT,Qingyi Wang,,
0000-0001-8247-4493,co_author,Quentin Noirhomme,male,50.6407185,5.5762326,Université de Liège,PhD,Universite Catholique de Louvain,Engineering,bioRxiv,,,Engineering,Senior data scientist and signal processing engineer at Bloomlife,Noirhomme Quentin,,"PhD, Biomedical Engineering"
0000-0002-7222-6944,co_author,Quetzalcoatl Chavez-Pena,male,19.7200649,-101.2510972,Universidad de Guadalajara,,,,,,,,,,,subespecialidad en Medicina del Enfermo en Estado Critico
0000-0003-0115-6544,co_author,Qun Fang,male,34.36594,-89.52536,"Department of Chemistry, Zhejiang University",ph.d,,,,,,,Ph.D. of Institute of Automation of the Chinese Academy Sciences (CASIA),Quan Fang,ph.d,
0000-0001-9632-8198,co_author,Qunying Hong,male,31.3011648,121.4980876,Fudan University,,,,,,,,,,,
0000-0002-3151-0535,co_author,R Besc√≥S,female,,,"Authorea, Inc.",,,,"Authorea, Inc.",,,,,,,
0000-0001-5930-5122,co_author,R D‚Äôarcy,female,,,,Doctorante en Ciencias Gerenciales en proceso,,,,,,,,,,Doctorante en Ciencias Gerenciales en proceso
0000-0002-0721-5878,co_author,R Freeman,female,41.5015735,-81.6070902,Electrical and Computer Engineering Department,Ph.D.,Washington University in Saint Louis,Philosophy,,,,Philosophy,"Professor of Business Administration, Darden School, University of Virginia",R Edward Freeman,professor,
0000-0001-5021-3774,co_author,R Gupta,female,30.7604622,76.7663284,Panjab University,,,,,,,,RMIT University,Rahul Gupta,,Bachelors of Arts
0000-0003-4824-4218,co_author,R Koch,female,51.4441576,7.2609654,Ruhr-Universitat Bochum,Dr.,University of Hohenheim,,,,,,"Professor of Computer Science, Christian-Albrechts-University of Kiel, Germany",Reinhard Koch,computer science,
0000-0003-2788-8903,co_author,R Kohli-Seth,female,40.789793,-73.9532536,Icahn School of Medicine at Mount Sinai,BDS DMD,University of Pennsylvania,Endodontic Deapartment,,,,Endodontic Deapartment,,,,
0000-0002-8294-2266,co_author,R Kukla,female,43.230862,5.4415458,Centre de Physique des Particules de Marseille,professor,,,,,,,"AKA Rebecca Kukla Professor of Philosophy, Georgetown University",Quill R Kukla,professor,
0000-0003-0470-696X,co_author,R Kulkarni,female,34.1370138,-118.1252883,California Institute of Technology,PostDoc,,,,,,,University of Mumbai Dept of Chemical Technology Former Prof. Food technology,Pushpa  R Kulkarni and P.R.Kulkarni,prof,
0009-0005-5214-6962,co_author,R Li,female,,,Key Laboratory for Thin Film and Microfabrication of Ministry of Education,,,,Research Square,,,,"Larry R. Dalton Endowed Chair in Chemistry, University of Washington, Seattle, WA",Xiaosong Li,,
0000-0002-4606-7652,co_author,R O‚Äôbara,female,,,,,,,,,,,,,,
0000-0002-2167-6275,co_author,R Porras,female,29.42412,-98.49363,UTHealth School of Public Health in San Antonio,Doctorado Finanzas,Universidad de Almería,Facultad de Ciencias Económicas y Empresariales,,"Washington, D. C.",,Facultad de Ciencias Económicas y Empresariales,"Oldenburg University, Department of Neurosurgery",Dr. med. Renan Sanchez-Porras MD,md,Doctorado Finanzas
0000-0001-8239-723X,co_author,R Raj,female,-37.7,145.18333,Indira Gandhi Centre for Atomic Research,,,,,,,,Cedars-Sinai Medical Center,Raj Makkar,,
0000-0002-1662-426X,co_author,R Ricci,female,43.8184641,11.1950208,Istituto Nazionale di Fisica Nucleare - INFN,professor,,,,,,,"Professor of Materials Science, University of California Berkeley",Robert O. Ritchie,professor,
0000-0003-2144-4359,co_author,R Rice,female,38.6472402,-90.3084017,Washington University in St. Louis,professor,,,,,,,"Professor of Physics, Princeton University",J. RICE,professor,
0000-0002-3225-9215,co_author,R Russo,female,0.3246284,32.574229,Mayo Clinic,,,,,,,,"L. Berkeley National Lab / Applied Spectra, Inc.",Richard E. Russo,,
0000-0002-3015-1374,co_author,R Stevens,female,31.1794305,121.5902345,ShanghaiTech University,md,,,,,,,"SF Coordinating Center, CPMC Research Institute and UC San Francisco","Steven R. Cummings, MD",md,
0000-0002-2785-5792,co_author,R Torres,female,51.5592251,9.9524442,Georg-August-Universität Göttingen,,,,Pontificia Universidad Javeriana,,,,"Profesor-Investigador Asistente, Instituto de Zoología y Ecología Tropical, UCV",Rubén Torres,,
0000-0002-0126-0213,co_author,R Zhang,female,32.0565957,118.7740883,Nanjing University,Master of Science (MS),,,bioRxiv,,,,"CUHKSZ, SRIBD & National University of Singapore",Rui Zhang,,Master of Science (MS)
0000-0003-3630-6290,co_author,Rachael Butler,male,,,Independent Researcher,,,,,,,,Senior Consultant (Research and Evaluation),Rachael Butler,,
0000-0001-8541-6803,co_author,Rachael Stevens,male,29.9579437,-90.0778585,Tulane University School of Medicine,edd,,,American Psychological Association,,,,"CEO Wild Learning, EdD student, University of Wisconsin Stevens Point",Rachel Tidd,edd,
0000-0002-7521-8456,co_author,Rachel Harper,male,51.4030739,-0.3032181,Kingston University,MSc by Research,,,,,,,,,,MSc by Research
0000-0001-6219-0389,co_author,Rachel Liu,male,41.3046035,-72.9355941,Yale-New Haven Hospital,Bachelor of Arts with Departmental Honors,University of Florida,Environmental Engineeirng Sciences,Wesleyan University,"Middletown, CT",Economics,Environmental Engineeirng Sciences,"Rachel Carson Chair in Sustainability & University Distinguished Professor, Michigan State",Jianguo Liu,professor,Bachelor of Arts with Departmental Honors
0000-0001-8460-4562,co_author,Rachel Shirley,male,13.0110983,80.2348657,College of Engineering,,Ohio State University,Nuclear Engineering,American Psychological Association,,,Nuclear Engineering,"Research Project Manager, Shirley Ryan AbilityLab",Rachel Maronati,,
