Fork Name,Publication Title,High Income Co-authors 2017,Low Income Co-authors 2017,Total Co-authors 2017,High Income Co-authors 2023,Low Income Co-authors 2023,Total Co-authors 2023
A. Fahim Habib,An assessment of the natural radioactivity distribution and radiation hazard in soil samples from Qatar using high-resolution gamma-ray spectrometry,10,0,10,,,
A. Fahim Habib,Attosecond-Angstrom free-electron-laser towards the cold beam limit,,,,10,0,10
A. Fahim Habib,Digital cells radiation hardness study of TPSCo 65 nm CIS technology by designing a ring oscillator,,,,13,0,13
A. Fahim Habib,First measurements of Trojan Horse injection in a plasma wakefield accelerator,36,1,37,,,
A. Fahim Habib,Horizon 2020 EuPRAXIA design study,123,3,126,,,
A. Fahim Habib,JACoW: First Measurements of Trojan Horse Injection in a Plasma Wakefield Accelerator,39,0,39,,,
A. Fahim Habib,Plasma photocathodes,,,,24,0,24
A. Fahim Habib,Plasma-optical spatiotemporal diagnostics and alignment for electron and laser beams,13,0,13,,,
A. Fahim Habib,Progress in hybrid plasma wakefield acceleration,,,,29,3,32
A. Fahim Habib,Simulation results for PLATO: a prototype hybrid X-ray photon counting detector with a low energy threshold for fusion plasma diagnostics,11,0,11,,,
A. Fahim Habib,Single-stage plasma-based correlated energy spread compensation for ultrahigh 6D brightness electron beams,11,0,11,,,
A. Fahim Habib,Ultrahigh 6D-brightness electron beams for the light sources of the next generation,9,0,9,,,
Adel Bassily-Marcus,A rare case of disseminated Trichosporon asahii infection after orthotopic liver transplant,15,0,15,,,
Adel Bassily-Marcus,Continous Respiratory Monitoring of Nonintubated Patients Outside the ICU: ETCO2+ Oximetry vs Respiratory Volume Monitoring,9,0,9,,,
Adel Bassily-Marcus,Critical care management and intensive care unit outcomes following cytoreductive surgery with hyperthermic intraperitoneal chemotherapy,14,0,14,,,
Adel Bassily-Marcus,First case of rapidly fatal mpox from secondary (household) transmission in a kidney transplant recipient,,,,4,1,5
Adel Bassily-Marcus,Hemophagocytic Lymphohistiocytosis: An Under Recognized But Fatal Disease,6,3,9,,,
Adel Bassily-Marcus,"Intravenous aviptadil and remdesivir for treatment of COVID-19-associated hypoxaemic respiratory failure in the USA (TESICO): a randomised, placebo-controlled trial",,,,87,4,91
Andre Holder,A Comparison Between Sensitivity Analysis of Oxygenation Severity and Acute Respiratory Distress Syndrome (ARDS) of a Machine Learning Algorithm to Predict Hypoxic Respiratory ‚Ä¶,,,,5,0,5
Andre Holder,Clinical Context From the Medical Record Improves Artificial Intelligence Models for Sepsis Prediction,,,,1,0,1
Andre Holder,Early sepsis detection in critical care patients using multiscale blood pressure and heart rate dynamics,7,0,7,,,
Andre Holder,Facilitating the Next Paradigm Shift in Critical Care Through Artificial Intelligence,,,,1,0,1
Andre Holder,HIRA: heart rate interval based rapid alert score to characterize autonomic dysfunction among patients with sepsis-related acute respiratory failure (ARF),,,,6,0,6
Andre Holder,Heart Rate Variability (HRV) Based Interpretable Machine Learning Algorithm for Prediction of All-cause Acute Respiratory Failure (ARF) Among ICU Patients,,,,4,3,7
Andre Holder,Measuring Fellows' Willingness to Challenge Authority Using an Objective Structured Clinical Examination,8,0,8,,,
Andre Holder,Mixed-Integer Projections for Automated Data Correction of EMRs Improve Predictions of Sepsis among Hospitalized Patients,,,,1,0,1
Andre Holder,Overt and occult hypoxemia in patients hospitalized with COVID-19,,,,2,0,2
Andre Holder,Serial daily organ failure assessment beyond ICU day 5 does not independently add precision to ICU risk-of-death prediction,7,0,7,,,
Andrew Barros,1255: INTERHOSPITAL VARIATION IN THE REINITIATION OF VASOPRESSOR THERAPIES,,,,3,0,3
Andrew Barros,957: THE ASSOCIATION OF EARLY ANTIBIOTIC USE WITH PROLONGED MECHANICAL VENTILATION IN SEVERE COVID-19,,,,6,0,6
Andrew Barros,Central lung gene expression associates with myofibroblast features in idiopathic pulmonary fibrosis,,,,2,0,2
Andrew Barros,Decreased Incidence of Hospital-Acquired Infections After Implementation of Real-Time Visualization of Nursing Observations,,,,4,0,4
Andrew Barros,Longer Travel Distance to Subspecialty Clinic Associates With Lower Lung Function in Pulmonary Sarcoidosis,,,,6,0,6
Andrew Barros,Outcomes After Early Hypotension in Sepsis: A Retrospective Cohort Study,,,,5,0,5
Andrew Barros,The ICU Bundle Board: A Novel Real-Time Data Visualization Tool to Improve Maintenance Care for Invasive Catheters.,,,,21,0,21
Andrew Barros,White Blood Cell Population Data Improves Identification of Sepsis in Hospitalized Adults: A Retrospective Cohort Study,,,,4,0,4
Anis Davoudi,Anesthesia Instrument Recognition System.,4,0,4,,,
Anis Davoudi,Delirium prediction using machine learning models on predictive electronic health records data,7,0,7,,,
Anis Davoudi,Fairness in the prediction of acute postoperative pain using machine learning models,,,,7,0,7
Anis Davoudi,Power-efficient real-time approach to non-wear time detection for smartwatches,11,0,11,,,
Anis Davoudi,"The burden of firearm injuries on the hospital system, 2000â€“2020",,,,4,0,4
Anoop Mayampurath,1130: MORTALITY AND CRITICAL DETERIORATION IN HOSPITALIZED CHILDREN,,,,5,0,5
Anoop Mayampurath,1133: UTILITY OF LONGITUDINAL TRENDS FOR PREDICTING DETERIORATION IN HOSPITALIZED CHILDREN,,,,8,0,8
Anoop Mayampurath,Abstract 124,25,3,28,,,
Anoop Mayampurath,Automated Matching of Patients to Clinical Trials: A Patient-Centric Natural Language Processing Approach for Pediatric Leukemia,,,,6,0,6
Anoop Mayampurath,"Enrichment of Mortality Events in Patients With Substance Misuse for Critical Care Research Utilizing Local, State, and National Data Sources",,,,2,3,5
