name,apiVersion,script,id,name,likelyGender,genderScale,score,probabilityCalibrated
Authors,namsor_api_2.0.30,LATIN,d594d33f-602a-4fe1-a5cb-efa466e2b54a,Authors,male,-0.361493377,3.279297802,0.680746689
3rd Lewin,namsor_api_2.0.30,LATIN,f424e372-2f80-40c0-8240-fe44e5cab37c,3rd Lewin,male,-0.866341598,8.993306068,0.933170799
A Accardo,namsor_api_2.0.30,LATIN,2f22eb4c-3afd-4249-858f-e06598dcc5de,A Accardo,male,-0.060207361,0.504811352,0.53010368
A Ahmad,namsor_api_2.0.30,LATIN,b6755043-f1bd-4b67-bfb5-6442d66becbe,A Ahmad,male,-0.071825502,1.066457405,0.535912751
A Ahmad,namsor_api_2.0.30,LATIN,2b97230d-f5ce-4883-857c-4c5de113438d,A Ahmad,male,-0.071825502,1.066457405,0.535912751
A Akasawa,namsor_api_2.0.30,LATIN,44aaef61-441b-4bed-97f9-94a43603ec32,A Akasawa,female,0.052234993,0.164436142,0.526117496
A Akasawa,namsor_api_2.0.30,LATIN,fd00dcda-b989-4fd3-bc6f-f75b1a70ffa8,A Akasawa,female,0.052234993,0.164436142,0.526117496
A Alberola,namsor_api_2.0.30,LATIN,66ab12e4-4b09-42b7-98cf-620cf355f291,A Alberola,female,0.062536463,0.60900018,0.531268231
A Alex,namsor_api_2.0.30,LATIN,aea09dd1-8fc5-4ee4-926f-42c5696adbd8,A Alex,male,-0.072977413,1.130078478,0.536488706
A Andreazza,namsor_api_2.0.30,LATIN,b72f177b-be71-48d1-bcb8-99bde399236a,A Andreazza,female,0.048517756,0.010063671,0.524258878
A Andronic,namsor_api_2.0.30,LATIN,d619c3cd-eeba-4d09-b506-a3bcbaf83ffd,A Andronic,male,-0.059613969,0.478710669,0.529806984
A Anke,namsor_api_2.0.30,LATIN,16b7b4e4-c20d-4f36-bc1f-391b2fbee069,A Anke,female,0.071606502,1.054584947,0.535803251
A Ari,namsor_api_2.0.30,LATIN,00ddb15d-47fb-4496-802e-d2f718224fdc,A Ari,male,-0.059872695,0.490070729,0.529936347
A Aschikhin,namsor_api_2.0.30,LATIN,d3ab4336-ddbc-4000-ab4e-6e3c9d340bf7,A Aschikhin,male,-0.053335019,0.210413008,0.52666751
A Aschikhin,namsor_api_2.0.30,LATIN,9f9b1e3d-8660-4395-8073-bbdf3ddc9062,A Aschikhin,male,-0.053335019,0.210413008,0.52666751
A Aschikhin,namsor_api_2.0.30,LATIN,0d9357a5-98a5-4055-a1d3-b2b1f272da52,A Aschikhin,male,-0.053335019,0.210413008,0.52666751
A Aschikhin,namsor_api_2.0.30,LATIN,4ff2016a-fb83-45ef-a4a3-a4000a273f98,A Aschikhin,male,-0.053335019,0.210413008,0.52666751
A Atchabahian,namsor_api_2.0.30,LATIN,52e14319-426a-4f72-999d-a8519ecafa79,A Atchabahian,male,-0.056333571,0.337022651,0.528166785
A Attaway,namsor_api_2.0.30,LATIN,d914ae13-01f0-4393-aaac-a46f43cd7463,A Attaway,male,-0.06213816,0.590968508,0.53106908
A Attaway,namsor_api_2.0.30,LATIN,51e2ff2f-fa6b-4aa5-8e93-411631d0a86d,A Attaway,male,-0.06213816,0.590968508,0.53106908
A Attaway,namsor_api_2.0.30,LATIN,24571005-f87c-43be-b3b0-c3edb5eb9e19,A Attaway,male,-0.06213816,0.590968508,0.53106908
A Azarine,namsor_api_2.0.30,LATIN,37e4f673-d05c-4b87-960a-91f0976cd335,A Azarine,female,0.068612101,0.898495728,0.534306051
A Azman,namsor_api_2.0.30,LATIN,0bc68f25-426e-446c-8110-aeefa022c48a,A Azman,male,-0.066851447,0.811384937,0.533425724
A Babahkin,namsor_api_2.0.30,LATIN,25f2db25-4d2f-4416-b943-adb942cc78a8,A Babahkin,male,-0.069953507,0.967062952,0.534976753
A Babahkin,namsor_api_2.0.30,LATIN,316374b8-3cd1-4e1a-b338-ad3a62914f76,A Babahkin,male,-0.069953507,0.967062952,0.534976753
A Bacci,namsor_api_2.0.30,LATIN,5885dca4-5556-4d68-a6df-655c5f3cb542,A Bacci,male,-0.063490398,0.652585889,0.531745199
A Bacci,namsor_api_2.0.30,LATIN,31b4a3b3-62ac-4e1a-8e84-8b41cb52c5da,A Bacci,male,-0.063490398,0.652585889,0.531745199
A Bacci,namsor_api_2.0.30,LATIN,40440409-d94d-49c2-8894-a9b8714ad84b,A Bacci,male,-0.063490398,0.652585889,0.531745199
A Bacci,namsor_api_2.0.30,LATIN,1755e37d-666d-41f2-8b18-836819fff182,A Bacci,male,-0.063490398,0.652585889,0.531745199
A Barros,namsor_api_2.0.30,LATIN,eab0334a-e8ed-4923-973a-515006e95594,A Barros,male,-0.05791915,0.405004807,0.528959575
A Barros,namsor_api_2.0.30,LATIN,2ac5c405-1ac2-43c0-9917-222ad9f7ddd6,A Barros,male,-0.05791915,0.405004807,0.528959575
A Barros,namsor_api_2.0.30,LATIN,af4eec5f-ba44-43e0-9963-685e132a97d3,A Barros,male,-0.05791915,0.405004807,0.528959575
A Barros,namsor_api_2.0.30,LATIN,7e72d529-f541-4ce7-bf71-c0e636955a0e,A Barros,male,-0.05791915,0.405004807,0.528959575
A Barros,namsor_api_2.0.30,LATIN,fdddfea6-8983-4c44-9f53-8ba3cd79b22a,A Barros,male,-0.05791915,0.405004807,0.528959575
A Barros,namsor_api_2.0.30,LATIN,b81850cb-2476-407b-8826-7c67864953a4,A Barros,male,-0.05791915,0.405004807,0.528959575
A Barros,namsor_api_2.0.30,LATIN,bca12ad0-bbde-4307-9707-7d21620fe5df,A Barros,male,-0.05791915,0.405004807,0.528959575
