firstName,apiVersion,script,id,firstName,lastName,likelyGender,genderScale,score,probabilityCalibrated
Authors,namsor_api_2.0.30,LATIN,07987493-46cc-465d-9874-70e0aa58aa86,Authors,,male,-0.3185811029398984,1.8326161925446025,0.6592905514699492
A ASKENASE,namsor_api_2.0.30,LATIN,d0cf8680-ccaa-465c-ba5a-b808cf50fe02,A ASKENASE,,female,0.08694476594018807,0.6194094392441976,0.543472382970094
A Aboud,namsor_api_2.0.30,LATIN,121abf34-1319-4df9-96c0-e86ecc0876f6,A Aboud,,male,-0.967006314186192,9.148055243581183,0.983503157093096
A Aboud,namsor_api_2.0.30,LATIN,3c58ca3d-ee68-447b-bc65-a19719aefdb9,A Aboud,,male,-0.967006314186192,9.148055243581183,0.983503157093096
A Aherrera,namsor_api_2.0.30,LATIN,5774a511-6718-49d1-8025-925822fed903,A Aherrera,,female,0.11065315091799754,0.7549948249021518,0.5553265754589988
A Aherrera,namsor_api_2.0.30,LATIN,59fce785-7179-479e-9391-45f402601fe9,A Aherrera,,female,0.11065315091799754,0.7549948249021518,0.5553265754589988
A Ahmed,namsor_api_2.0.30,LATIN,f0ca71d3-aecf-4ce1-88b4-858430f74dda,A Ahmed,,male,-0.964925562711688,8.51694982487826,0.982462781355844
A Ahmed,namsor_api_2.0.30,LATIN,1ec6ba58-047e-47b4-96bd-63d2334ddbf5,A Ahmed,,male,-0.964925562711688,8.51694982487826,0.982462781355844
A Akcan-Arikan,namsor_api_2.0.30,LATIN,6ad8f91c-5948-43ac-a71f-ba1fe5137cc5,A Akcan-Arikan,,male,-0.17367103618462099,1.1216072080773927,0.5868355180923105
A Algeciras-Schimnich,namsor_api_2.0.30,LATIN,2830c120-c216-4d8b-b295-baeb9cf4ff15,A Algeciras-Schimnich,,female,0.03434793526254998,0.06656199998094786,0.517173967631275
A Alsara,namsor_api_2.0.30,LATIN,6a4a2b67-8250-4dac-89bc-96bd9f2c1a31,A Alsara,,female,0.039140509215693786,0.35867829716523053,0.5195702546078469
A Aravindakshan,namsor_api_2.0.30,LATIN,fabfbe6e-26fe-46f2-b6f2-f280f5c44ae9,A Aravindakshan,,male,-0.9530854388710055,7.819214011329912,0.9765427194355027
A Arezzo,namsor_api_2.0.30,LATIN,d3cfa63d-6fa8-4324-89bd-763e3dfe2fe7,A Arezzo,,female,0.34323316744757015,1.9963155094168312,0.6716165837237851
A Arnaud,namsor_api_2.0.30,LATIN,1bb609de-3d5c-4380-89df-9d8793a06074,A Arnaud,,male,-0.9667402655347548,9.051976351984713,0.9833701327673774
A Arnold,namsor_api_2.0.30,LATIN,20755156-fd5e-4b4a-a99c-a68c3926b6da,A Arnold,,male,-0.9583530110337688,7.990382502606458,0.9791765055168844
A Arrieta,namsor_api_2.0.30,LATIN,398797ee-e906-4baf-b7a7-de89349e78f3,A Arrieta,,female,0.6858855970215889,4.762794280213711,0.8429427985107945
A Arvin-Berod,namsor_api_2.0.30,LATIN,bc8a1341-2880-4339-89c8-5ac4ac8fb8a2,A Arvin-Berod,,male,-0.43809787379737,2.9650832523692756,0.719048936898685
A Arvin-Berod,namsor_api_2.0.30,LATIN,363023a7-233d-49c5-8c97-81ee8e60eaaf,A Arvin-Berod,,male,-0.43809787379737,2.9650832523692756,0.719048936898685
A Ayadi,namsor_api_2.0.30,LATIN,4fb5b358-ca99-439d-8262-a0b8707d2340,A Ayadi,,male,-0.5473097049812754,3.796046255960249,0.7736548524906377
A B,namsor_api_2.0.30,LATIN,c7fb0649-c2be-4093-9eed-0e35b954ce12,A B,,male,-0.8476825072308878,6.382853619235615,0.9238412536154439
A Balavenkataraman,namsor_api_2.0.30,LATIN,69db8c51-7df8-4780-bf03-dbcb383512e6,A Balavenkataraman,,male,-0.2507550495170745,1.4605907576278163,0.6253775247585373
A Balmain,namsor_api_2.0.30,LATIN,7beab56b-731d-4179-b8d2-dd79867784bb,A Balmain,,male,-0.9324406045743288,7.411833397275757,0.9662203022871644
A Balmain,namsor_api_2.0.30,LATIN,a004b199-dbed-461c-8255-e087e9e0fd76,A Balmain,,male,-0.9324406045743288,7.411833397275757,0.9662203022871644
A Banga,namsor_api_2.0.30,LATIN,2d070e34-2a7c-4fc8-8096-a1645d894f34,A Banga,,male,-0.45951954193648836,3.3747278955467337,0.7297597709682442
A Banga,namsor_api_2.0.30,LATIN,dd31b9fc-ca51-458e-ad96-b247327a7764,A Banga,,male,-0.45951954193648836,3.3747278955467337,0.7297597709682442
A Bar-Or,namsor_api_2.0.30,LATIN,f4e1f1c6-4ab3-4424-950d-20401de3841e,A Bar-Or,,male,-0.38968033373693145,2.375730565175555,0.6948401668684657
A Bar-Or,namsor_api_2.0.30,LATIN,cb3afb6c-826b-46ed-aa50-d1aa3367f227,A Bar-Or,,male,-0.38968033373693145,2.375730565175555,0.6948401668684657
A Barkatt,namsor_api_2.0.30,LATIN,1a36fad6-fa30-4996-8851-e8cdf7ebaef4,A Barkatt,,male,-0.04047590621629471,0.3677999375119078,0.5202379531081474
A Basu,namsor_api_2.0.30,LATIN,22b450f9-e965-419e-baf3-01cda84d8571,A Basu,,male,-0.6495485348738224,4.410064742279353,0.8247742674369112
A Behfar,namsor_api_2.0.30,LATIN,2921510d-ee0b-4db1-bf63-493c4435edb8,A Behfar,,male,-0.8101756319109319,5.9664901547467935,0.905087815955466
A Belkum,namsor_api_2.0.30,LATIN,43330c15-593d-4e1d-a724-3d757160b722,A Belkum,,male,-0.2903407612157274,1.666192229792113,0.6451703806078637
A Belot,namsor_api_2.0.30,LATIN,d33afeaa-d017-4743-9eee-7312dbbf6429,A Belot,,male,-0.934637963245768,7.440755657053707,0.967318981622884
A Bhagra,namsor_api_2.0.30,LATIN,5ffb48d1-2757-4504-8a56-1b95c7b806ea,A Bhagra,,female,0.06972436709354368,0.5243392837724522,0.5348621835467718
A Bhagra,namsor_api_2.0.30,LATIN,18182642-78a2-4701-b1d3-d7d0e21c4a47,A Bhagra,,female,0.06972436709354368,0.5243392837724522,0.5348621835467718
A Bhagra,namsor_api_2.0.30,LATIN,64725ad5-47ce-44a9-8dd9-bf8480ed4190,A Bhagra,,female,0.06972436709354368,0.5243392837724522,0.5348621835467718
A Bhagra,namsor_api_2.0.30,LATIN,fb3b5ea9-6d10-4c9a-aac8-029db0f44302,A Bhagra,,female,0.06972436709354368,0.5243392837724522,0.5348621835467718
A Bhagra,namsor_api_2.0.30,LATIN,c51598ac-fdcd-45b2-bca5-387fc3b5c1e0,A Bhagra,,female,0.06972436709354368,0.5243392837724522,0.5348621835467718
A Bhagra,namsor_api_2.0.30,LATIN,aaf2be0a-4f0d-46cd-b7db-7ff9a6445615,A Bhagra,,female,0.06972436709354368,0.5243392837724522,0.5348621835467718
A Bhatt,namsor_api_2.0.30,LATIN,3641878a-5e65-4879-a9e0-e98f9d0a5e18,A Bhatt,,male,-0.44450070088201166,3.0722643056848966,0.7222503504410058
A Bhatt,namsor_api_2.0.30,LATIN,0b5508af-9bfc-4ba5-8a56-85ec0f1c2efc,A Bhatt,,male,-0.44450070088201166,3.0722643056848966,0.7222503504410058
A Bhatt,namsor_api_2.0.30,LATIN,0e604c68-3e37-4d9e-a11e-cd060e7cbd10,A Bhatt,,male,-0.44450070088201166,3.0722643056848966,0.7222503504410058
A Bhatt,namsor_api_2.0.30,LATIN,87bbb1d3-aedc-4feb-90a6-5e595beb3d68,A Bhatt,,male,-0.44450070088201166,3.0722643056848966,0.7222503504410058
A Bienek,namsor_api_2.0.30,LATIN,65759bec-c214-406d-9245-4e9b5cfd6976,A Bienek,,male,-0.3332987518954802,1.9279316945618739,0.6666493759477401
A Blight,namsor_api_2.0.30,LATIN,b4765aa3-02a3-4ff4-b94b-2294ece06802,A Blight,,male,-0.07364274411237459,0.5457549458716039,0.5368213720561873
A Bobbala,namsor_api_2.0.30,LATIN,6a05347d-df18-45e3-bad6-b566f7a11542,A Bobbala,,female,0.15563540041570834,1.0331726244146289,0.5778177002078542
A Bobbala,namsor_api_2.0.30,LATIN,1fdfc311-0406-4d91-b5d2-9aa9ad04876c,A Bobbala,,female,0.15563540041570834,1.0331726244146289,0.5778177002078542
A Bollaerts,namsor_api_2.0.30,LATIN,2508604e-3a96-4df4-af40-7e2b2ac06111,A Bollaerts,,male,-0.058592750852737296,0.4641188382281989,0.5292963754263686
A Bonnard,namsor_api_2.0.30,LATIN,7fe1f846-0510-4c6f-9210-c51545b5b77b,A Bonnard,,male,-0.9643612841091358,8.342108876467734,0.9821806420545679
A Boster,namsor_api_2.0.30,LATIN,603c0143-f29b-4da3-b262-e9a5a5b4ad37,A Boster,,male,-0.9589189107774774,8.012206731666648,0.9794594553887387
A Boster,namsor_api_2.0.30,LATIN,966938a4-2b6d-42bc-9a85-5675442c926f,A Boster,,male,-0.9589189107774774,8.012206731666648,0.9794594553887387
A Bradley,namsor_api_2.0.30,LATIN,74d30371-dc92-487a-959e-e1d070250e95,A Bradley,,male,-0.9072432936528712,7.1289321295737125,0.9536216468264356
A Brender,namsor_api_2.0.30,LATIN,e6042cab-2a7e-4112-829b-1250d27376d8,A Brender,,female,0.3271044919239259,1.8869985243291154,0.6635522459619629
A Broquet,namsor_api_2.0.30,LATIN,86edb3d1-2912-4386-95bb-48acd1fc7a80,A Broquet,,male,-0.2608271329193781,1.5103615782570223,0.630413566459689
A Budzyski,namsor_api_2.0.30,LATIN,5d278676-c6f1-4f0f-8273-1fe2bf7082d4,A Budzyski,,female,0.036103516831503146,0.1725888244206252,0.5180517584157516
A Budzyski,namsor_api_2.0.30,LATIN,d250eb3c-b5b6-4a05-ac4a-0f2832b21eb3,A Budzyski,,female,0.036103516831503146,0.1725888244206252,0.5180517584157516
A Bullappa,namsor_api_2.0.30,LATIN,03b25ff2-88fd-43d9-bda2-005df584c52f,A Bullappa,,female,0.07979340548004066,0.5796211007257915,0.5398967027400203
A Bürger,namsor_api_2.0.30,LATIN,47574b28-f36e-45d4-aa6d-cc796a9ef6da,A Bürger,,male,-0.3163925980898459,1.818992996361317,0.6581962990449229
A Campeau,namsor_api_2.0.30,LATIN,e4793cb0-f91a-4933-8920-dc4f2cdfa8da,A Campeau,,male,-0.22706931181840995,1.349239023110112,0.613534655909205
A Catherine,namsor_api_2.0.30,LATIN,2195f823-d137-4a9e-86da-04dd98997601,A Catherine,,female,0.9524327543701312,7.802231049852637,0.9762163771850656
A Cesar,namsor_api_2.0.30,LATIN,3c8e58cd-9848-4d75-bcb7-538fa26397b9,A Cesar,,male,-0.9504203312406316,7.751611215402555,0.9752101656203158
A Charuvastra,namsor_api_2.0.30,LATIN,94cc4f4c-003f-471e-8c80-4425cb6e9cbd,A Charuvastra,,female,0.12792683913417213,0.8580651908907662,0.5639634195670861
A Christie,namsor_api_2.0.30,LATIN,937c33f5-b57b-42d8-91e5-1d1305db72ce,A Christie,,female,0.8175269697057221,6.0823298590856965,0.9087634848528611
A Chua,namsor_api_2.0.30,LATIN,c22a7887-8b61-4de3-926c-6fde6e58b5cf,A Chua,,male,-0.37416917906985026,2.2358202074517664,0.6870845895349251
A Chumachenko,namsor_api_2.0.30,LATIN,c76575b8-a3ea-48c7-9e33-bda0a37cce8b,A Chumachenko,,male,-0.29739932184619944,1.7060077521403372,0.6486996609230997
A Cikova,namsor_api_2.0.30,LATIN,5c40932d-6df6-4b4b-b437-f562ca0f65b4,A Cikova,,female,0.34934272932798494,2.040204353821384,0.6746713646639925
A Clymer,namsor_api_2.0.30,LATIN,34fd309b-8d10-41e7-a1a0-d917367af602,A Clymer,,male,-0.3172090798840781,1.824059838051209,0.658604539942039
A Copas,namsor_api_2.0.30,LATIN,7d53766f-ea46-4429-8c83-3cee44d83832,A Copas,,male,-0.35679408093788556,2.095822732729193,0.6783970404689428
A Copello,namsor_api_2.0.30,LATIN,4c65755a-1875-41ea-a8f9-a387c5066dbe,A Copello,,male,-0.3073709532595785,1.7641992733969156,0.6536854766297893
A Coste,namsor_api_2.0.30,LATIN,1baf9318-579b-4097-858c-9509f779017c,A Coste,,male,-0.44441941995796497,3.070836186059246,0.7222097099789825
