Fork Name,Publication Title,level_2 2017,Gender - Author 2017,level_2 2023,Gender - Author 2023
A. Fahim Habib,An assessment of the natural radioactivity distribution and radiation hazard in soil samples from Qatar using high-resolution gamma-ray spectrometry,Male Co-authors,1,0,0
A. Fahim Habib,An assessment of the natural radioactivity distribution and radiation hazard in soil samples from Qatar using high-resolution gamma-ray spectrometry,Female Co-authors,10,0,0
A. Fahim Habib,An assessment of the natural radioactivity distribution and radiation hazard in soil samples from Qatar using high-resolution gamma-ray spectrometry,Total Co-authors,11,0,0
A. Fahim Habib,First measurements of Trojan Horse injection in a plasma wakefield accelerator,Male Co-authors,3,0,0
A. Fahim Habib,First measurements of Trojan Horse injection in a plasma wakefield accelerator,Female Co-authors,24,0,0
A. Fahim Habib,First measurements of Trojan Horse injection in a plasma wakefield accelerator,Total Co-authors,27,0,0
A. Fahim Habib,Horizon 2020 EuPRAXIA design study,Male Co-authors,1,0,0
A. Fahim Habib,Horizon 2020 EuPRAXIA design study,Female Co-authors,142,0,0
A. Fahim Habib,Horizon 2020 EuPRAXIA design study,Total Co-authors,143,0,0
A. Fahim Habib,JACoW: First Measurements of Trojan Horse Injection in a Plasma Wakefield Accelerator,Male Co-authors,20,0,0
A. Fahim Habib,JACoW: First Measurements of Trojan Horse Injection in a Plasma Wakefield Accelerator,Female Co-authors,5,0,0
A. Fahim Habib,JACoW: First Measurements of Trojan Horse Injection in a Plasma Wakefield Accelerator,Total Co-authors,25,0,0
A. Fahim Habib,Plasma-optical spatiotemporal diagnostics and alignment for electron and laser beams,Male Co-authors,9,0,0
A. Fahim Habib,Plasma-optical spatiotemporal diagnostics and alignment for electron and laser beams,Female Co-authors,1,0,0
A. Fahim Habib,Plasma-optical spatiotemporal diagnostics and alignment for electron and laser beams,Total Co-authors,10,0,0
A. Fahim Habib,Simulation results for PLATO: a prototype hybrid X-ray photon counting detector with a low energy threshold for fusion plasma diagnostics,Male Co-authors,0,0,0
A. Fahim Habib,Simulation results for PLATO: a prototype hybrid X-ray photon counting detector with a low energy threshold for fusion plasma diagnostics,Female Co-authors,8,0,0
