Publication Title,Total_Forks,Diversity_Score
"A case of birt-hogg-dube, presenting with recurrent pneumothorax, managed with intrabronchial valve placement",1.0,0.0
A novel ICU hand-over tool: the glass door of the patient room,1.0,0.0
A rare case of disseminated Trichosporon asahii infection after orthotopic liver transplant,1.0,0.0
Abstract 124,1.0,0.0
Acute hepatotoxicity after high-dose cytarabine for the treatment of relapsed acute myeloid leukemia: a case report,1.0,0.0
Acute orthodeoxia: evaluation using point-of-care ultrasound imaging,1.0,0.0
An assessment of the natural radioactivity distribution and radiation hazard in soil samples from Qatar using high-resolution gamma-ray spectrometry,1.0,0.0
Anesthesia Instrument Recognition System.,1.0,0.0
B Cell Lymphoma Associated Hemophagocytic Lymphohistiocytosis (hlh) Presenting As Fulminant Liver Failure,1.0,0.0
C50 CRITICAL CARE: NON-PULMONARY CRITICAL CARE PROBLEMS: Hemodynamic Instability Following Vasopressin Withdrawal In Septic Shock,1.0,0.0
"C57 CRITICAL CARE CASE REPORTS: HEMATOLOGY, ONCOLOGY, RHEUMATOLOGY, AND IMMUNOLOGY: B Cell Lymphoma Associated Hemophagocytic Lymphohistiocytosis (hlh) Presenting As Fulminant …",1.0,0.0
Cardiovascular diagnostic procedures,1.0,0.0
Characteristics and management of blunt renal injury in children,1.0,0.0
Continous Respiratory Monitoring of Nonintubated Patients Outside the ICU: ETCO2+ Oximetry vs Respiratory Volume Monitoring,1.0,0.0
Critical care management and intensive care unit outcomes following cytoreductive surgery with hyperthermic intraperitoneal chemotherapy,1.0,0.0
Delirium prediction using machine learning models on predictive electronic health records data,1.0,0.0
Determinants of prognosis in neurocatastrophes,1.0,0.0
Diffuse large B-cell lymphoma with secondary hemophagocytic lymphohistiocytosis presenting as acute liver failure,1.0,0.0
Early sepsis detection in critical care patients using multiscale blood pressure and heart rate dynamics,1.0,0.0
Evaluating the Diagnostic Accuracy of Clinical Risk Scores to Detect Acute Coronary Syndrome in Patients Evaluated at the Emergency Department for a Chief Complaint of Chest Pain,1.0,0.0
Evaluation of beat-to-beat ventricular repolarization lability from standard 12‐lead ECG during acute myocardial ischemia,1.0,0.0
Feasibility of mid-frequency ventilation among infants with respiratory distress syndrome,1.0,0.0
"Febrile Neutropenia Syndromes in Children: Should Management Differ for Primary, Persistent, Recurrent or Engraftment Fever?",1.0,0.0
First measurements of Trojan Horse injection in a plasma wakefield accelerator,1.0,0.0
Hemodynamic Instability Following Vasopressin Withdrawal In Septic Shock,1.0,0.0
Hemophagocytic Lymphohistiocytosis: An Under Recognized But Fatal Disease,1.0,0.0
Horizon 2020 EuPRAXIA design study,1.0,0.0
Hurricane Irma–‘No’Clinical Impact,1.0,0.0
IP123. Gender Differences in Carotid Artery Restenosis Rates Following Surgical Intervention,1.0,0.0
Improving caregivers’ perceptions regarding patient goals of care/end-of-life issues for the multidisciplinary critical care team,1.0,0.0
Incidence and Predictors of Delaying Seeking Emergent Medical Care Among Patients With Suspected Acute Coronary Syndrome,1.0,0.0
Irma-No Clinical Impact,1.0,0.0
JACoW: First Measurements of Trojan Horse Injection in a Plasma Wakefield Accelerator,1.0,0.0
Mean diffusivity of basal ganglia and thalamus specifically associated with motivational states among mood states,1.0,0.0
Measuring Fellows' Willingness to Challenge Authority Using an Objective Structured Clinical Examination,1.0,0.0
Modeling of lung function recovery in neuralgic amyotrophy with diaphragm impairment,1.0,0.0
"Neuromuscular weakness in chronic obstructive pulmonary disease: chest wall, diaphragm, and peripheral muscle contributions",1.0,0.0
On the need for standard definitions and education to optimize patient-ventilator interactions,1.0,1.0
Physiological effects of early incremental mobilization of a patient with acute intracerebral and intraventricular hemorrhage requiring dual external ventricular drainage,1.0,0.0
Plasma-optical spatiotemporal diagnostics and alignment for electron and laser beams,1.0,0.0
Plasmapheresis for refractory pruritus due to drug-induced cholestasis,1.0,0.0
Positive Impact of Tele-ICU Monitoring on Hospital Mortality and Cost Among Patients in Progressive Care With Cardiovascular Disease: Experience From a Large Healthcare System,1.0,0.0
Power-efficient real-time approach to non-wear time detection for smartwatches,1.0,0.0
Predictors of Emergency Medical Personnel’s Decision to Transmit or Not to Transmit the Prehospital 12-Lead ECG of Patients With Suspected Acute Myocardial Infarction,1.0,0.0
Presentation#: V10-01: Teletriage: Application of a Tele-ICU Infrastructure to Enhance Patient Care Experience in the Emergency Department,1.0,0.0
Pressure injuries in critical care: a survey of critical care nurses,1.0,0.0
Refractory Hypoxia in a Mechanically Ventilated Patient,1.0,0.0
Retrospective review of postoperative glycemic control in patients after distal pancreatectomy,1.0,0.0
Revisiting ultrasound-guided subclavian/axillary vein cannulations: importance of pleural avoidance with rib trajectory,1.0,0.0
Septic Pulmonary Emboli-A Cause For Recurrent Bilateral Pneumothorax,1.0,0.0
Serial daily organ failure assessment beyond ICU day 5 does not independently add precision to ICU risk-of-death prediction,1.0,0.0
Similar ECG Features in 2 Different Diagnoses,1.0,0.0
Simulation results for PLATO: a prototype hybrid X-ray photon counting detector with a low energy threshold for fusion plasma diagnostics,1.0,0.0
Single-stage plasma-based correlated energy spread compensation for ultrahigh 6D brightness electron beams,1.0,0.0
Sleep in amyotrophic lateral sclerosis,1.0,0.0
Spatial indices of repolarization correlate with non-ST elevation myocardial ischemia in patients with chest pain,1.0,0.0
The Prevalence of Secondary Repolarization Abnormalities Confounding the Electrocardiographic Diagnosis of Acute Myocardial Ischemia in Patients Presenting With Chest Pain,1.0,0.0
The VEGF gene polymorphism impacts brain volume and arterial blood volume,1.0,0.0
The anterior midcingulate cortex as a neural node underlying hostility in young adults,1.0,0.0
Time of Day and Day of Week Variations in Chest Pain Encounters at the Prehospital Setting,1.0,0.0
Trauma patients warrant upper and lower extremity venous duplex ultrasound surveillance,1.0,0.0
"Traumatic brain injury: integrated approaches to improve prevention, clinical care, and research",1.0,0.0
Ultrahigh 6D-brightness electron beams for the light sources of the next generation,1.0,0.0
Variation in monitoring and treatment policies for intracranial hypertension in traumatic brain injury: a survey in 66 neurotrauma centers participating in the CENTER-TBI study,1.0,0.0
Z cells activated by zinc finger-like protein and uses thereof in cancer treatment,1.0,0.0
