,Author,Author,Fork,Fork
Gender - Author,female,male,female,male
Publication Title,,,,
10 Proportional Assist Ventilation and Neurally Adjusted Ventilatory Assist (PC-CSVr),1,0,0,1
100 Two Thirds of Patients With Acute Coronary Syndrome in High Risk Chest Pain Have a Negative First Conventional Troponin,1,0,1,0
1007: DEVELOPMENT OF TELE-ICU MULTIDIMENSIONAL SEVERITY ADJUSTED PIRO SEPSIS MODEL,0.333333333,0.666666667,1,0
1010: DE-ESCALATION OF DEXMEDETOMIDINE-BASED SEDATION UTILIZING CLONIDINE IN MEDICAL AND SURGERY ICUS,0.6,0.4,1,0
1024: DESTINED FOR FAILURE? RISK FACTORS FOR ARTERIAL LINE LOSS IN SURGICAL ICU PATIENTS,0.6,0.4,0,1
1025: CENTRAL VENOUS ACCESS BY ADVANCED PRACTICE PROVIDERS IN THE CRITICAL CARE SETTING,0.5,0.5,0.5,0.5
1028: IMPACT OF RESTARTING HOME NEUROPSYCHIATRIC MEDICATIONS ON SEDATION OUTCOMES IN MEDICAL ICU PATIENTS,1,0,1,0
102: EXPLORING COSTS OF TELE-INTENSIVIST DELIVERY MODELS WITH AND WITHOUT 24/7 BEDSIDE INTENSIVISTS,0.285714286,0.714285714,1,0
1041: ICU Management of Patients undergoing Cytoreductive surgery and HIPEC for Peritoneal Carcinomatosis,0.285714286,0.714285714,0,1
1046: Predicting Deterioration in Hospitalized Children Using Machine Learning,0.625,0.375,0,1
1047: EVALUATION OF STRESS ULCER PROPHYLAXIS INDICATIONS AT A LARGE ACADEMIC MEDICAL CENTER,0.2,0.8,1,0
"1088: IMPLEMENTATION OF AN AWAKENING, BREATHING, AND MOBILITY PROGRAM FOR MECHANICALLY VENTILATED PATIENTS",0.428571429,0.571428571,1,0
1090: ARE THE CURRENT DEFINITIONS USED TO DETECT SEPSIS ADEQUATE FOR PREDICTION OF SEPSIS SYNDROME?,0.6,0.4,1,0
1093: IMPACT OF PRONING ON PARALYZED PATIENTS WITH ACUTE RESPIRATORY DISTRESS SYNDROME,0.5,0.5,1,0
1099: ACUTE RESPIRATORY DISTRESS SYNDROME AND PERSISTENT RIGHT VENTRICULAR DYSFUNCTION,0.2,0.8,1,0
1130: MORTALITY AND CRITICAL DETERIORATION IN HOSPITALIZED CHILDREN,0.4,0.6,0,1
1133: UTILITY OF LONGITUDINAL TRENDS FOR PREDICTING DETERIORATION IN HOSPITALIZED CHILDREN,0.666666667,0.333333333,0,1
1138: CHARACTERISTICS AND OUTCOMES OF PATIENTS SELECTED FOR VENOVENOUS ECMO AT CLEVELAND CLINIC,0.375,0.625,0,1
1138: TRAUMA PATIENTS WARRANT UPPER AND LOWER EXTREMITY VENOUS DUPLEX ULTRASOUND SURVEILLANCE,0.4,0.6,0,1
1140: PAIN ASSESSMENT AND SEDATION DELIVERY IN MECHANICALLY VENTILATED PATIENTS: CAN WE DO IT BETTER?,0.375,0.625,1,0
1154: TELETRIAGE POSITIVELY INFLUENCES THROUGHPUT TIMES AND EXPEDITES OPTIMAL TIME TO CRITICAL CARE,0.428571429,0.571428571,1,0
1157: HIGH-FREQUENCY OSCILLATORY VENTILATION AS A RESCUE STRATEGY FOR PATIENTS WITH RESPIRATORY FAILURE,0,1,0,1
1171: ANGIOEDEMA IN THE ICU: EPIDEMIOLOGY AND OUTCOMES AT A TERTIARY CARE CENTER,0.6,0.4,0,1
1179: NOVEL ECHOCARDIOGRAPHIC PHENOTYPES FOR ASSESSMENT OF SYSTOLIC FUNCTION IN PATIENTS WITH SEPSIS,0.5,0.5,1,0
1186: IMPACT OF ECHOCARDIOGRAPHY ON IN-HOSPITAL MORTALITY IN ADULT SEPSIS AND SEPTIC SHOCK,1,0,1,0
1186: WORKPLACE VIOLENCE PILOT STUDY: RESPONSE ALGORITHMS AND OTHER MEASURES FOR STAFF SAFETY,0.875,0.125,0,1
1192: DRIVING PRESSURE AND MORTALITY IN MEDICAL AND SURGICAL ICU PATIENTS AFTER PARALYTIC ADMINISTRATION,0.444444444,0.555555556,1,0
1205: ACCEPTABILITY OF AN ULTRASOUND AND BLADDER SCANNER PROTOCOL TO REDUCE URINARY CATHETER UTILIZATION,0.5,0.5,0,1
1206: BETA-LACTAM DOSING IN PATIENTS WITH SEPSIS AND AKI: A MULTICENTER OBSERVATIONAL STUDY,0.363636364,0.636363636,1,0
1211: SACRED PAUSE INITIATIVE IN THE ICU: A SURVEY OF ICU PHYSICIANS AND NURSES,0.2,0.8,0,1
1216: ASSOCIATION OF OPTIMAL PATIENT-CENTERED OUTCOMES AND TELE-ICU FOR PROGRESSIVE CARE CARDIOLOGY,0.5,0.5,1,0
1219: OPTIMAL PATIENT-CENTERED OUTCOMES FOR HIGHER-ACUITY CHEST AND EPIGASTRIC PAIN WITH TELEMEDICINE,0.5,0.5,1,0
1229-P: Clinical Characteristics and Hospital Care among Patients with Diabetic Ketoacidosis,0,1,0,1
122: ICU “HOTEL ROUNDS” AS A QUALITY IMPROVEMENT TOOL: CHANGING PRACTICE IN A MEDICAL INTENSIVE CARE UNIT,0.333333333,0.666666667,1,0
1234: MEDICAL EMERGENCY TEAM CALLS TO WARD PATIENTS AFTER DOWN-TRANSFER FROM AN ICU,0.666666667,0.333333333,1,0
1239: Dynamic Assessments of Fluid Responsiveness Reduce Excess Fluid Administration,0.375,0.625,1,0
1243: Antibiotic Delays in Septic Patients Transferred From the Regular Floor to the Intensive Care Unit,0.375,0.625,0,1
1255: INTERHOSPITAL VARIATION IN THE REINITIATION OF VASOPRESSOR THERAPIES,0.666666667,0.333333333,0,1
125: DEVELOPMENT OF CRITICAL CARE DATAMART FOR EFFECTIVENESS RESEARCH AND POPULATION HEALTH TRENDS,0.285714286,0.714285714,1,0
1260: STANDARDIZING APPROACHES TO COMPLETION OF ADVANCE DIRECTIVES IN MEDICAL INTENSIVE CARE,0.285714286,0.714285714,0,1
1269: acute physiology and chronic health evaluation IV in septic patients with and without cancer,0.428571429,0.571428571,0,1
1271: BEDSIDE US AND BLADDER SCANNER-BASED PROTOCOL SAFELY REDUCES URINARY CATHETER USE IN KIDNEY INJURY,0.5,0.5,0,1
1272: Acute diaphragm paralysis after arterial embolization: Utilization of ultrasonography for diagnosis,0,1,0,1
1274-PUB: Clinical Comparison of Hospitalized Patients with Diabetic Ketoacidosis Admitted to Intensive Care Unit (ICU) vs. Non-ICU Areas,0,1,0,1
1276: MEASURING BLADDER VOLUMES IN THE ICU: IS ACCURACY DEPENDENT ON DEVICE AND CLINICIAN?,0.4,0.6,0,1
1287: A RETROSPECTIVE COHORT STUDY OF LAB USAGE IN THE ICU: DO WE NEED TO LEARN TO ASK FEWER QUESTIONS?,0.5,0.5,0,1
1298: A Physiology-Driven Machine Learning Model for Traumatic Brain Injury Outcome,0,1,0,1
1313: ALTERNATIVE PHARMACOLOGIC AGENTS VERSUS BENZODIAZEPINES FOR ALCOHOL WITHDRAWAL IN TRAUMA PATIENTS,1,0,0,1
1314: PROVIDER-DRIVEN PROTOCOL TO IMPROVE ADVANCE DIRECTIVE COMPLETION IN THE INTENSIVE CARE UNIT,0.25,0.75,0,1
131: EFFECT OF ENVIRONMENT OF CARE WITHIN PIRO SEPSIS MODEL: IS TELE-HEALTH THE ANSWER FOR HEALTH POLICY?,0.333333333,0.666666667,1,0
134: LONG-TERM FOLLOW-UP OF ACUTE ORGAN FAILURE IN SURVIVORS OF CRITICAL ILLNESS DUE TO COVID-19,0.571428571,0.428571429,0,1
1359: EXPLORING LOS IN TELE-INTENSIVIST DELIVERY MODELS WITH AND WITHOUT 24/7 BEDSIDE INTENSIVISTS,0.285714286,0.714285714,1,0
1363: OUTCOMES AFTER IN-HOSPITAL CARDIAC ARREST: AN INSIGHT FROM THE MEDICAL INTENSIVE CARE UNIT,0.1,0.9,0,1
1366: IMPLEMENTATION OF A PERIPHERAL NOREPINEPHRINE PROTOCOL IN A MEDICAL INTENSIVE CARE UNIT,0.8,0.2,0,1
1367: IMPLEMENTATION OF A PERIPHERAL NOREPINEPHRINE PROTOCOL IN A MICU: PRELIMINARY RESULTS,0.8,0.2,0,1
137: Thromboembolic Events and Role of Point-of-Care Ultrasound in COVID-19 Patients in the ICU,0.285714286,0.714285714,0,1
1381: CHARACTERIZING FLUID AND VASOPRESSOR USE IN REDUCED EJECTION FRACTION: REANALYSIS OF VOLUME-CHASERS,0.666666667,0.333333333,1,0
1403: DIALYSIS DISEQUILIBRIUM SYNDROME IN A CRITICALLY ILL PATIENT WITH STAPHYLOCOCCUS AUREUS BACTEREMIA,0.6,0.4,1,0
1404: PROTOCOLIZED DIURESIS-GUIDED VOLUME DE-RESUSCITATION IN THE INTENSIVE CARE UNIT,0.5,0.5,1,0
1406: ASSESSING THE IMPACT OF ALBUMIN USE ON VASOPRESSOR DURATION AND MORTALITY IN SEPTIC SHOCK,0.5,0.5,1,0
1407: RENAL EFFECTS OF VASOPRESSIN ON CIRRHOTIC PATIENTS WITH SEPTIC SHOCK,0.666666667,0.333333333,1,0
1419: THE IMPACT OF EARLY OR LATE INITIATION OF RRT ON 28-DAY OUTCOMES OF PATIENTS WITH SEPSIS-INDUCED AKI,0.25,0.75,1,0
1420: FLUID RESPONSIVENESS AND DIURETIC USE IN PATIENTS WITH SEPTIC SHOCK,0.375,0.625,1,0
1421: NOREPINEPHRINE EQUIVALENT DOSE IS STRONGLY ASSOCIATED WITH IN-HOSPITAL MORTALITY IN SEPTIC SHOCK,0.6,0.4,1,0
1425: EARLY-VERSUS LATE-ONSET SEPTIC SHOCK: DOES IT REALLY MATTER?,0.6,0.4,1,0
"1431: ORGAN FAILURE DATA OVER TIME IN THE CRITICALLY ILL: AT WHAT COST, AND TO WHAT BENEFIT?",0.5,0.5,1,0
1437: DISSEMINATED HSV-2 INFECTION CAUSING MSOF: EARLY ANTIVIRAL THERAPY CAN BE LIFESAVING,0,1,0,1
1454: ASSOCIATION OF THIAMINE ADMINISTRATION WITH OUTCOMES IN SEPTIC SHOCK PATIENTS,0,1,1,0
1474: ASSOCIATION OF ECHOCARDIOGRAPHIC PROFILES AND RESPONSE TO VASOPRESSIN IN PATIENTS WITH SEPTIC SHOCK,0.5,0.5,1,0
1509: TRENDS IN IN-HOSPITAL MORTALITY OF PATIENTS HOSPITALIZED WITH SEPTIC SHOCK WITH MALIGNANCY,0.333333333,0.666666667,1,0
1518: ANALYSIS OF PULSE OXIMETRY DATA TO ESTIMATE HEART RATE VARIABILITY IN HIGH-RISK PEDIATRIC PATIENTS,0,1,0,1
1518: Analysis Of Pulse Oximetry Data To Estimate Heart Rate Variability In High-risk Pediatric Patients,0,1,0,1
1567: RELATIONSHIP BETWEEN PRE-ICU LENGTH OF STAY AND FINAL DISPOSITION AMONG ICU SEPSIS PATIENTS,0.666666667,0.333333333,1,0
