Publication Title,Author_2017_female,Author_2017_male,Author_2023_female,Author_2023_male,Fork_2017_female,Fork_2017_male,Fork_2023_female,Fork_2023_male
"A case of birt-hogg-dube, presenting with recurrent pneumothorax, managed with intrabronchial valve placement",0,1,,,0,1,,
A novel ICU hand-over tool: the glass door of the patient room,0.5,0.5,,,0,1,,
A rare case of disseminated Trichosporon asahii infection after orthotopic liver transplant,0.571428571,0.428571429,,,0,1,,
Abstract 124,0.133333333,0.866666667,,,0,1,,
Acute hepatotoxicity after high-dose cytarabine for the treatment of relapsed acute myeloid leukemia: a case report,0.5,0.5,,,1,0,,
Acute orthodeoxia: evaluation using point-of-care ultrasound imaging,0.25,0.75,,,1,0,,
An assessment of the natural radioactivity distribution and radiation hazard in soil samples from Qatar using high-resolution gamma-ray spectrometry,0.909090909,0.090909091,,,1,0,,
Anesthesia Instrument Recognition System.,0.333333333,0.666666667,,,0,1,,
B Cell Lymphoma Associated Hemophagocytic Lymphohistiocytosis (hlh) Presenting As Fulminant Liver Failure,0,1,,,0,1,,
C50 CRITICAL CARE: NON-PULMONARY CRITICAL CARE PROBLEMS: Hemodynamic Instability Following Vasopressin Withdrawal In Septic Shock,1,0,,,1,0,,
"C57 CRITICAL CARE CASE REPORTS: HEMATOLOGY, ONCOLOGY, RHEUMATOLOGY, AND IMMUNOLOGY: B Cell Lymphoma Associated Hemophagocytic Lymphohistiocytosis (hlh) Presenting As Fulminant …",1,0,,,0,1,,
Cardiovascular diagnostic procedures,1,0,,,1,0,,
Characteristics and management of blunt renal injury in children,0.5,0.5,,,0,1,,
Continous Respiratory Monitoring of Nonintubated Patients Outside the ICU: ETCO2+ Oximetry vs Respiratory Volume Monitoring,0.333333333,0.666666667,,,0,1,,
Critical care management and intensive care unit outcomes following cytoreductive surgery with hyperthermic intraperitoneal chemotherapy,0.555555556,0.444444444,,,0,1,,
Delirium prediction using machine learning models on predictive electronic health records data,0.4,0.6,,,0,1,,
Determinants of prognosis in neurocatastrophes,1,0,,,0,1,,
Diffuse large B-cell lymphoma with secondary hemophagocytic lymphohistiocytosis presenting as acute liver failure,0.25,0.75,,,0,1,,
Early sepsis detection in critical care patients using multiscale blood pressure and heart rate dynamics,0.25,0.75,,,1,0,,
Evaluating the Diagnostic Accuracy of Clinical Risk Scores to Detect Acute Coronary Syndrome in Patients Evaluated at the Emergency Department for a Chief Complaint of Chest Pain,0,1,,,1,0,,
Evaluation of beat-to-beat ventricular repolarization lability from standard 12‐lead ECG during acute myocardial ischemia,0,1,,,1,0,,
Feasibility of mid-frequency ventilation among infants with respiratory distress syndrome,0,1,,,0,1,,
"Febrile Neutropenia Syndromes in Children: Should Management Differ for Primary, Persistent, Recurrent or Engraftment Fever?",0,1,,,0,1,,
First measurements of Trojan Horse injection in a plasma wakefield accelerator,0.888888889,0.111111111,,,1,0,,
