Publication Title,Author_female,Author_male,Fork_female,Fork_male
1130: MORTALITY AND CRITICAL DETERIORATION IN HOSPITALIZED CHILDREN,0.4,0.6,0.0,1.0
1133: UTILITY OF LONGITUDINAL TRENDS FOR PREDICTING DETERIORATION IN HOSPITALIZED CHILDREN,0.6666666666666666,0.3333333333333333,0.0,1.0
1179: NOVEL ECHOCARDIOGRAPHIC PHENOTYPES FOR ASSESSMENT OF SYSTOLIC FUNCTION IN PATIENTS WITH SEPSIS,0.5,0.5,1.0,0.0
1186: IMPACT OF ECHOCARDIOGRAPHY ON IN-HOSPITAL MORTALITY IN ADULT SEPSIS AND SEPTIC SHOCK,1.0,0.0,1.0,0.0
1206: BETA-LACTAM DOSING IN PATIENTS WITH SEPSIS AND AKI: A MULTICENTER OBSERVATIONAL STUDY,0.36363636363636365,0.6363636363636364,1.0,0.0
1255: INTERHOSPITAL VARIATION IN THE REINITIATION OF VASOPRESSOR THERAPIES,0.6666666666666666,0.3333333333333333,0.0,1.0
202: RACIAL DIFFERENCES IN COMMERCIAL MONITORING SOFTWARE DETECTION OF ATRIAL FIBRILLATION,0.5,0.5,1.0,0.0
42: VANCOMYCIN AND PIPERACILLIN-TAZOBACTAM OR CEFEPIME AND SEPSIS-ASSOCIATED AKI TRAJECTORY,0.3333333333333333,0.6666666666666666,1.0,0.0
504: PERICARDIAL TAMPONADE AND OBSTRUCTIVE SHOCK: COMPLICATION OF TENECTEPLASE FOR ACUTE ISCHEMIC STROKE,0.6666666666666666,0.3333333333333333,0.0,1.0
7: ASSESSMENT OF READMISSION RISK FACTORS AFTER INDEX HOSPITAL DISCHARGE FOR COVID-19 PATIENTS,0.47058823529411764,0.5294117647058824,1.0,0.0
895: PROTOCOLIZED CARE FOR ACUTE RESPIRATORY DISTRESS SYNDROME: BEFORE AND DURING THE PANDEMIC,0.36363636363636365,0.6363636363636364,0.0,1.0
904: OUTCOMES OF COMPLICATED PARAPNEUMONIC EFFUSIONS TREATED WITH INTRAPLEURAL TISSUE PLASMINOGEN,0.16666666666666666,0.8333333333333334,0.0,1.0
