Fork Name,Publication Title,level_2 2017,Gender - Author 2017,level_2 2023,Gender - Author 2023
"Brandon Michael Henry, MD",Anatomical study of the internal nasal branch of the infraorbital nerve: application to minimizing nerve damage with surgery in and around the nose,Male Co-authors,0.0,0,0.0
"Brandon Michael Henry, MD",Anatomical study of the internal nasal branch of the infraorbital nerve: application to minimizing nerve damage with surgery in and around the nose,Female Co-authors,2.0,0,0.0
"Brandon Michael Henry, MD",Anatomical study of the internal nasal branch of the infraorbital nerve: application to minimizing nerve damage with surgery in and around the nose,Total Co-authors,2.0,0,0.0
"Brandon Michael Henry, MD",Anatomical variability and histological structure of the ulnar nerve in the Guyonâ€™s canal,Male Co-authors,2.0,0,0.0
"Brandon Michael Henry, MD",Anatomical variability and histological structure of the ulnar nerve in the Guyonâ€™s canal,Female Co-authors,3.0,0,0.0
"Brandon Michael Henry, MD",Anatomical variability and histological structure of the ulnar nerve in the Guyonâ€™s canal,Total Co-authors,5.0,0,0.0
"Brandon Michael Henry, MD",Anatomical variations of the inferior thyroid artery: a cadaveric examination,Male Co-authors,2.0,0,0.0
"Brandon Michael Henry, MD",Anatomical variations of the inferior thyroid artery: a cadaveric examination,Female Co-authors,3.0,0,0.0
"Brandon Michael Henry, MD",Anatomical variations of the inferior thyroid artery: a cadaveric examination,Total Co-authors,5.0,0,0.0
"Brandon Michael Henry, MD","C. Braz, R. Castro-Ferreira, P. Dias, S. Sampaio, J. Teixeira Faculdade de Medicina da Universidade do Porto, Portugal E-mail address: carolina. c. braz@ gmail. com",Male Co-authors,1.0,0,0.0
"Brandon Michael Henry, MD","C. Braz, R. Castro-Ferreira, P. Dias, S. Sampaio, J. Teixeira Faculdade de Medicina da Universidade do Porto, Portugal E-mail address: carolina. c. braz@ gmail. com",Female Co-authors,1.0,0,0.0
"Brandon Michael Henry, MD","C. Braz, R. Castro-Ferreira, P. Dias, S. Sampaio, J. Teixeira Faculdade de Medicina da Universidade do Porto, Portugal E-mail address: carolina. c. braz@ gmail. com",Total Co-authors,2.0,0,0.0
"Brandon Michael Henry, MD",Congenital absence of the palmaris longus muscle: A meta-analysis comparing cadaveric and functional studies,Male Co-authors,2.0,0,0.0
"Brandon Michael Henry, MD",Congenital absence of the palmaris longus muscle: A meta-analysis comparing cadaveric and functional studies,Female Co-authors,0.0,0,0.0
"Brandon Michael Henry, MD",Congenital absence of the palmaris longus muscle: A meta-analysis comparing cadaveric and functional studies,Total Co-authors,2.0,0,0.0
"Brandon Michael Henry, MD",Development of the anatomical quality assessment (AQUA) tool for the quality assessment of anatomical studies included in metaâ€analyses and systematic reviews,Male Co-authors,2.0,0,0.0
"Brandon Michael Henry, MD",Development of the anatomical quality assessment (AQUA) tool for the quality assessment of anatomical studies included in metaâ€analyses and systematic reviews,Female Co-authors,1.0,0,0.0
"Brandon Michael Henry, MD",Development of the anatomical quality assessment (AQUA) tool for the quality assessment of anatomical studies included in metaâ€analyses and systematic reviews,Total Co-authors,3.0,0,0.0
"Brandon Michael Henry, MD",Evidence-Based Approach to the Treatment of Cubital Tunnel Syndrome,Male Co-authors,2.0,0,0.0
"Brandon Michael Henry, MD",Evidence-Based Approach to the Treatment of Cubital Tunnel Syndrome,Female Co-authors,0.0,0,0.0
"Brandon Michael Henry, MD",Evidence-Based Approach to the Treatment of Cubital Tunnel Syndrome,Total Co-authors,2.0,0,0.0
"Brandon Michael Henry, MD",Evidence-Based Assessment Of The Anatomy Of The Bronchial Arteries,Male Co-authors,0.0,0,0.0
"Brandon Michael Henry, MD",Evidence-Based Assessment Of The Anatomy Of The Bronchial Arteries,Female Co-authors,8.0,0,0.0
