Publication Title,Total_Forks,Diversity_Score
37th International Symposium on Intensive Care and Emergency Medicine (part 3 of 3),1.0,0.0
A Novel GABAA Receptor Î±5 Subunit-Selective Allosteric Modulator That Does Not Cross The Blood-Brain Barrier Relaxes Airway Smooth Muscle Contracted With Diverse Ligands,1.0,0.0
A cardiology PA home care program,1.0,0.0
A population-based analysis of germline BAP1 mutations in melanoma,1.0,0.0
A screen for combination therapies in BRAF/NRAS wild type melanoma identifies nilotinib plus MEK inhibitor as a synergistic combination,1.0,0.0
A22 HEALTH SERVICES HIGHLIGHTS IN CRITICAL CARE: Certain Rounding Model With Software Prompting Improves Patient Rounds And Process Of Care In Icu,1.0,0.0
Alterations in Cerebral Ventricle Size Over Time in Children with Congenital Heart Disease,1.0,0.0
An analysis of purchase price of legal and illicit cigarettes in urban retail environments in 14 low‚Äêand middle‚Äêincome countries,1.0,0.0
An efficient method for generation of bi-allelic null mutant mouse embryonic stem cells and its application for investigating epigenetic modifiers,1.0,0.0
An interprofessional quality improvement initiative to standardize pediatric extubation readiness assessment,1.0,0.0
Anatomical study of the internal nasal branch of the infraorbital nerve: application to minimizing nerve damage with surgery in and around the nose,1.0,0.0
Anatomical variability and histological structure of the ulnar nerve in the Guyonâ€™s canal,1.0,0.0
Anatomical variations of the inferior thyroid artery: a cadaveric examination,1.0,0.0
Apparent Diffusion Coefficient (ADC) of the vitreous humor and Susceptibility Weighted Imaging (SWI) of the retina in abused children with retinal hemorrhages,1.0,0.0
Assessing continuous quality improvement in public health: Adapting lessons from healthcare,1.0,0.0
Association between obstructive sleep apnea and acute kidney injury in critically ill patients: a propensity-matched study,1.0,0.0
Association between timing of intubation and outcome in critically ill patients: a secondary analysis of the ICON audit,1.0,0.0
Blog fog? Using rapid response to advance science and promote debate,1.0,0.0
"Brain Activation and Psychomotor Speed in Middle-Aged Patients with Type 1 Diabetes: Relationships with Hyperglycemia and Brain Small Vessel Disease (vol 2016, 9571464, 2016)",1.0,0.0
"C. Braz, R. Castro-Ferreira, P. Dias, S. Sampaio, J. Teixeira Faculdade de Medicina da Universidade do Porto, Portugal E-mail address: carolina. c. braz@ gmail. com",1.0,0.0
Certain Rounding Model With Software Prompting Improves Patient Rounds And Process Of Care In Icu,1.0,0.0
Cigarette stick as valuable communicative real estate: a content analysis of cigarettes from 14 low-income and middle-income countries,1.0,0.0
Clinical significance of serum cortisol levels following surgery for congenital heart disease,1.0,0.0
Combined heart and liver transplantation in highly sensitized patients: protection of the cardiac allograft from antibody mediated rejection by initial liver implantation,1.0,0.0
Confirmed disability improvement in patients treated with fingolimod in phase 3 and extension trial programmes for up to 96 months,1.0,0.0
Congenital absence of the palmaris longus muscle: A meta-analysis comparing cadaveric and functional studies,1.0,0.0
Contrast‚Äêenhanced ultrasound and elastography imaging of the neonatal brain: a review,1.0,0.0
Corrigendum to ‚ÄúBrain Activation and Psychomotor Speed in Middle-Aged Patients with Type 1 Diabetes: Relationships with Hyperglycemia and Brain Small Vessel Disease‚Äù,1.0,0.0
D19 NOVEL THERAPEUTIC TARGETS IN OBSTRUCTIVE LUNG DISEASE: A Novel Gabaa Receptor? 5 Subunit-Selective Allosteric Modulator That Does Not Cross The Blood-Brain Barrier Relaxes â€¦,1.0,0.0
Derivation and validation of the automated search algorithms to identify cognitive impairment and dementia in electronic health records,1.0,0.0
Design and Œ±-testing of an electronic rounding tool (CERTAINp) to improve process of care in pediatric intensive care unit,1.0,0.0
Development of the anatomical quality assessment (AQUA) tool for the quality assessment of anatomical studies included in metaâ€analyses and systematic reviews,1.0,0.0
E-cigarettes as a source of toxic and potentially carcinogenic metals,1.0,0.0
Effect of daily use of electronic checklist on physical rehabilitation consultations in critically ill patients,1.0,0.0
Effectiveness and safety of long-term fingolimod treatment in relapsing-remitting multiple sclerosis patients with highly active disease,1.0,0.0
Electronic cigarette use behaviors and motivations among smokers and non-smokers,1.0,0.0
Enhancing the genome editing toolbox: genome wide CRISPR arrayed libraries,1.0,0.0
Evaluating muscle mass by using markers of kidney function: development of the sarcopenia index,1.0,0.0
Evidence-Based Approach to the Treatment of Cubital Tunnel Syndrome,1.0,0.0
Evidence-Based Assessment Of The Anatomy Of The Bronchial Arteries,1.0,0.0
Extubation failure after neonatal cardiac surgery: a multicenter analysis,1.0,0.0
FULL TITLE,1.0,0.0
Factors influencing health-related quality-oflife in Polish colorectal cancer patients without liver metastases,1.0,0.0
Factors that influence attitude and enforcement of the smoke-free law in Turkey: a survey of hospitality venue owners and employees,1.0,0.0
"Follow-Up Incidence, Outcome, and Trend of ARDS in Critically Ill Patients Over 6 Years: A Population-Based Study",1.0,0.0
Genomic analysis and clinical management of adolescent cutaneous melanoma,1.0,0.0
Global approaches to regulating electronic cigarettes,1.0,0.0
Growth in social media and live-tweeting at major critical care conferences: Twitter analysis of the past 4 years,1.0,0.0
Hypoplastic left heart syndrome: from comfort care to long-term survival,1.0,0.0
IMPACT OF MINIMALLY INVASIVE DECOMPRESSION SURGERY ON THE QUALITY OF LIFE OF PATIENTS WITH LUMBAR SPINAL STENOSIS-A 2 YEAR FOLLOW-UP STUDY.,1.0,0.0
Immunosuppression: The Global Picture,1.0,0.0
Impact of Telemedicine Monitoring of Community Intensive Care Units on Inter-Hospital Transfers,1.0,0.0
Importance of routine antihuman/leukocyte antibody monitoring: de novo donor specific antibodies are associated with rejection and allograft vasculopathy after heart ‚Ä¶,1.0,0.0
Improving our understanding of moderation and mediation in strategic management research,1.0,0.0
"Incidence, predictors, and prognostic values of periprocedural myocardial injury in patients undergoing transcatheter aortic valve implementation for aortic stenosis: a meta â€¦",1.0,0.0
