,Author,Author,Fork,Fork
Gender - Author,female,male,female,male
Publication Title,,,,
""" Spontaneous"" Reduction in Donor Specific Allo-Antibody (DSA) after Positive Cross Match Kidney Transplantation (plus XMKTx) Is Associated with Improved Histology",1,0,0,1
'Menthol-Plus’: a major category of cigarette found among ‘concept’descriptor cigarettes from Mexico,1,0,1,0
(76) The Use of Continuous Propofol Infusion in a Pediatric Intensive Care Unit,0.666666667,0.333333333,0,1
053 The Provence Diabetes network: management of patients undergoing insulin infusion therapy in South of France,1,0,1,0
1. What is the most likely cause of the ulceration and stricture of the Roux limb?,1,0,0,1
1011: SEPSIS SEVERITY SCORE: A SYSTEMATIC REVIEW OF LITERATURE,0.375,0.625,0,1
1015: Predictors of mortality among patients with septic shock receiving appropriate antimicrobial therapy,0,1,0,1
102: COMPARISON OF ADVANCED PRACTICE PROVIDER (APP) ICU WORKLOAD ON ADMISSION DAY VERSUS SUBSEQUENT DAYS,0.25,0.75,0,1
103: Optimization of advanced practice provider (APP) patient load in the ICU,0.25,0.75,0,1
1043: EFFECTS OF AGE ON RATES OF NEUROLOGICALLY INTACT SURVIVAL WITH THERAPEUTIC HYPOTHERMIA AFTER CARDIAC ARREST,0,1,0,1
104: A GLOBAL SURVEY OF IMPACT OF VIOLENCE AGAINST HEALTHCARE WORKERS IN CRITICAL CARE SETTINGS: VISHWAS,0.428571429,0.571428571,0,1
1050: Impact of a Social Worker on Patient Attendance to a Post-ICU Clinic,1,0,1,0
1056: THE RELATIONSHIP BETWEEN PROCEDURAL CONFIDENCE AND PROCEDURAL COMPETENCE OF APPS IN THE ICU,0.2,0.8,0,1
105: Atrial Fibrillation as an Independent Predictor of Poor Outcome After Ischemic Stroke,0.75,0.25,0,1
105: USING DATA ANALYTICS TO DECREASE MISSED BILLS IN THE ICU,0.333333333,0.666666667,0,1
1067: RETROSPECTIVE DERIVATION AND VALIDATION OF A COMPUTABLE PHENOTYPE OF NOSOCOMIAL ASPIRATION,0.25,0.75,0,1
107: Impact of nocturnal ICU telemedicine on interhospital transfer volume,0.6,0.4,1,0
108: Comparing the FOUR Score and Glasgow Coma Scale Performed by Diverse Evaluators,1,0,0,1
1098: International Participant Satisfaction With the CERTAIN Structured Approach to Acute Care,0.333333333,0.666666667,0,1
109: Indian ICU needs assessment survey-1: ININ 2018-I,0.142857143,0.857142857,0,1
1103: MULTIDISCIPLINARY ICU RECOVERY CLINIC VISITS: QUALITATIVE ANALYSIS OF PATIENT-PROVIDER INTERACTIONS,1,0,1,0
110: COMPARISON OF ICU PRODUCTIVITY OF ADVANCED PRACTICE PROVIDERS ON DAY AND NIGHT SHIFTS,0.333333333,0.666666667,0,1
110: COMPARISON OF NP/PA RESIDENCY-TRAINED GRADUATES AND ON-THE-JOB TRAINING ON TIME TO MAX PRODUCTIVITY,0.2,0.8,0,1
111: MEASURING ADVANCED PRACTICE PROVIDER CRITICAL CARE KNOWLEDGE AND CONFIDENCE: OJT VERSUS RESIDENCY,0.571428571,0.428571429,0,1
1126: LEVERAGING THE SCCM DISCOVERY VIRUS COVID-19 REGISTRY TO EVALUATE DRUG REPURPOSING RESEARCH DATASET,0.555555556,0.444444444,0,1
"1127: MULTI-ORGAN FAILURE ASSOCIATED WITH INGESTION OF SYNTHETIC STREET DRUG"" 25I""(25I-NBOME)",0,1,0,1
112: BURNOUT AMONG NEUROCRITICAL CARE PRACTITIONERS,0.5,0.5,0,1
113: CHALLENGES OF IMPLEMENTING A STEPPED WEDGE KNOWLEDGE DELIVERY INTERVENTION IN 20 COUNTRIES,0.571428571,0.428571429,0,1
1158: HYPERAMMONEMIA IN A PATIENT WITH NORMAL HEPATIC FUNCTION CAUSING BRAIN EDEMA AND SEIZURE,0,1,0,1
1159: APRV FOR PULMONARY RECRUITMENT IN CHILDREN ON ECMO FOR RESPIRATORY FAILURE-A CASE SERIES,0.444444444,0.555555556,0,1
115: TRANSITION FROM HOSPITALIST-MANAGED TO INTENSIVIST-MANAGED COMMUNITY ICU,0.6,0.4,0,1
1174: ASSESSING CONTRIBUTORY FACTORS FOR BURNOUT SYNDROME IN A MULTIDISCIPLINARY CRITICAL CARE CENTER,0.666666667,0.333333333,0,1
117: Presence of Pain in Patients With Stroke or Transient Ischemic Attack Coming to the Emergency Department,1,0,0,1
117: obesity is a risk factor for increased COVID-19 severity: a systemic review and meta-regression,0.2,0.8,0,1
1198: BARRIERS TO EXTUBATION IN PEDIATRIC PATIENTS AFTER PASSING EXTUBATION READINESS TESTING,0,1,0,1
119: Prevalance of Sleep Apnea in Acute Ischemic Stroke and TIAs,1,0,0,1
1210: VARIATION OF PEDIATRIC RESPIRATORY MODALITY USE AFTER EXTUBATION,0,1,0,1
1216: Oral Midodrine in the First 24 Hours of Sepsis to Reduce Need for Vasoactive Agents: Clinical Trial,0.5,0.5,0,1
121: DEVELOPING A MOLECULAR ABSORBENT RECIRCULATING SYSTEM TEAM IN THE SURGICAL/TRANSPLANT ICU,0.5,0.5,0,1
121: POST-ICU CLINICS MAY REDUCE ICU STAFF BURNOUT: CRITICAL & ACUTE ILLNESS RECOVERY ORGANIZATION REPORT,1,0,1,0
1222: VENOVENOUS EXTRACORPOREAL MEMBRANE OXYGENATION IN CHILDREN WITH CANCER OR SCT: A MULTICENTER STUDY,0.454545455,0.545454545,0,1
1236: THE UTILITY OF FLEXIBLE BRONCHOSCOPY IN PEDIATRIC VENOVENOUS ECMO: A MULTICENTER STUDY,0.4,0.6,0,1
1239: INTRA-OP ARGON GAS EMBOLISM DURING LIVER TRANSPLANT RESULTING IN REFRACTORY SHOCK AND ARDS,0.666666667,0.333333333,0,1
124: THE ASSOCIATION OF OBESITY WITH COVID-19 SEVERITY AND MORTALITY: SYSTEMIC REVIEW AND META-REGRESSION,0.5,0.5,0,1
1252: Application of a tele-ICU intervention to decrease utilization of alteplase for line clearance,0.75,0.25,1,0
1253: Tele-ICU intensity of service association with decreased ICU length of stay,1,0,1,0
125: ASSOCIATION OF HYPOTHYROIDISM WITH COVID-19 OUTCOMES: RESULTS FROM THE SCCM DISCOVERY REGISTRY,0.235294118,0.764705882,0,1
128: IMPACT OF EMR OPEN CHART LIMITATION ON PATIENT SELECTION ORDER ENTRY ERRORS IN A NOCTURNAL TELE-ICU,1,0,1,0
"1294: ASSOCIATION OF ACUTE PHYSIOLOGY AND CHRONIC HEALTH EVALUATION IV (APACHE), AND PATIENT CARE TIME",0.333333333,0.666666667,0,1
1302: CLINICIAN ULTRASOUND SCREENING FOR CATHETER-ASSOCIATED THROMBOSIS IN CRITICALLY ILL CHILDREN,0.333333333,0.666666667,0,1
1303: HIRING AND RETENTION CHARACTERISTICS OF ADVANCED PRACTICE PROVIDERS (APP) IN THE ICU,0.5,0.5,0,1
1309: PICU LIBERATION COLLABORATIVE: BUNDLE TO ELIMINATE DELIRIUM IMPROVES ICU CULTURE AND OUTCOMES,0.5,0.5,0,1
132: ASSOCIATION BETWEEN GI SYMPTOMS AND COVID-19: RESULTS FROM THE DISCOVERY VIRUS REGISTRY,0.1875,0.8125,0,1
134: PHYSICIAN ASSISTANT BILLING AND PROCEDURES IN THE INTENSIVE CARE UNIT,0.5,0.5,0,1
1358: Use of tele-ICU for line surveillance,0.75,0.25,1,0
1361: PREDICTION OF MYOCARDIAL DYSFUNCTION UTILIZING MODIFIED SHOCK INDEX,0.2,0.8,0,1
1362: LONG-TERM NEW-ONSET HEART FAILURE IN PATIENTS WITH MYOCARDIAL DYSFUNCTION IN SEPSIS AND SEPTIC SHOCK,0.4,0.6,0,1
1384: SUCCESS WITH IMPLEMENTATION OF A SYSTEM-BASED SEPSIS MANAGEMENT PROGRAM,0.166666667,0.833333333,0,1
1391: SINGLE-CENTER PILOT RESULTS FROM MULTINATIONAL QUALITY IMPROVEMENT PROJECT (CERTAIN),0.375,0.625,0,1
140: DOCUMENTATION OF PATIENT CARE TIME BY NURSE PRACTITIONERS AND PHYSICIAN ASSISTANTS IN THE INTENSIVE CARE UNIT,0.4,0.6,0,1
140: EFFECT OF RAAS INHIBITORS ON OUTCOMES OF HOSPITALIZED PATIENTS WITH SARS-COV-2 INFECTION,0.375,0.625,0,1
140: Efficacy and Safety of Tocilizumab in Hospitalized COVID-19 Patients: A Systematic Review,0.75,0.25,0,1
1439: Characteristics and outcome of kidney transplant patients in the ICU: a 10-year single-center study,0.2,0.8,0,1
143: Lung Transplantation for Severe Lung Damage in Patients With End-Stage COVID-19: A Systematic Review,0.5,0.5,0,1
"1443: MODIFIED SHOCK INDEX AS A PREDICTOR OF ICU LENGTH OF STAY, SOFA SCORE, AND MORTALITY",0.2,0.8,0,1
1445: WHO CAN BE CALLED “ELDERLY” FOR SEVERE SEPSIS MORTALITY?,0.25,0.75,0,1
144: ASSOCIATION OF LATITUDE AND ALTITUDE WITH COVID-19 OUTCOMES: SCCM DISCOVERY VIRUS REGISTRY ANALYSIS,0.277777778,0.722222222,0,1
144: Clinical Outcomes of Remdesivir in COVID-19: A Systematic Review and Meta-Analysis,0.454545455,0.545454545,0,1
145: A DESCRIPTIVE STUDY OF COVID-19 PATIENTS IN SKILLED NURSING FACILITIES IN ALL 50 US STATES,0.5,0.5,0,1
145: DEVELOPMENT OF BEDSIDE DECISION SUPPORT CARDS BASED ON THE INFORMATION NEEDS OF ACUTE CARE PROVIDERS,0,1,0,1
145: Pediatric COVID-19: a report from viral infection and respiratory illness universal study (VIRUS),0.4,0.6,0,1
146: IMPLICATIONS OF ASPIRIN CONTINUATION IN CRITICALLY ILL ANTICOAGULATED SURGICAL PATIENTS,0.375,0.625,0,1
146: controversial role of corticosteroids on mortality in COVID-19: systematic review and meta-analysis,0.444444444,0.555555556,0,1
150: ASSOCIATION OF LATITUDE AND ALTITUDE WITH COVID-19 SYMPTOMS: SCCM DISCOVERY VIRUS REGISTRY ANALYSIS,0.294117647,0.705882353,0,1
1541: FACTORS INFLUENCING EXTRACORPOREAL LIFE SUPPORT SURVIVAL IN CHILDREN WITH PRIMARY IMMUNODEFICIENCIES,0,1,0,1
1570: SEPSIS RESOLUTION IN THE MEDICAL ICU,0.2,0.8,0,1
1585 Unilateral Versus Bilateral Surgery for Inguinal Hernia in Premature Boys: A Multicenter French Study On 966 Cases,1,0,1,0
1631: PUPILLARY REFLEX DETECTED BY OPHTHALMIC ULTRASONOGRAPHY IN NONRESPONSIVE CRITICALLY ILL CHILDREN,0.4,0.6,0,1
163: DERMATOLOGIC MANIFESTATIONS IN PATIENTS WITH COVID-19: RESULTS FROM THE DISCOVERY VIRUS REGISTRY,0.4,0.6,0,1
164: Incremental Value of Magnetocardiograph Over Electrocardiograph in Diagnosing Acute Coronary Syndrome in Patients Presenting to the Emergency Department With High Risk …,1,0,0,1
165: Novel application of tele-ICU presence to support rapid response calls in a community hospital,0.75,0.25,1,0
