Publication Title,Author_2017_female,Author_2017_male,Author_2023_female,Author_2023_male,Fork_2017_female,Fork_2017_male,Fork_2023_female,Fork_2023_male
37th International Symposium on Intensive Care and Emergency Medicine (part 3 of 3),1,0,,,0,1,,
A Novel GABAA Receptor Î±5 Subunit-Selective Allosteric Modulator That Does Not Cross The Blood-Brain Barrier Relaxes Airway Smooth Muscle Contracted With Diverse Ligands,0.6,0.4,,,0,1,,
A cardiology PA home care program,0,1,,,0,1,,
A population-based analysis of germline BAP1 mutations in melanoma,0.285714286,0.714285714,,,0,1,,
A screen for combination therapies in BRAF/NRAS wild type melanoma identifies nilotinib plus MEK inhibitor as a synergistic combination,0.551724138,0.448275862,,,0,1,,
A22 HEALTH SERVICES HIGHLIGHTS IN CRITICAL CARE: Certain Rounding Model With Software Prompting Improves Patient Rounds And Process Of Care In Icu,1,0,,,0,1,,
Alterations in Cerebral Ventricle Size Over Time in Children with Congenital Heart Disease,0.4,0.6,,,0,1,,
An analysis of purchase price of legal and illicit cigarettes in urban retail environments in 14 low‚Äêand middle‚Äêincome countries,0.2,0.8,,,1,0,,
An efficient method for generation of bi-allelic null mutant mouse embryonic stem cells and its application for investigating epigenetic modifiers,0.285714286,0.714285714,,,0,1,,
An interprofessional quality improvement initiative to standardize pediatric extubation readiness assessment,0,1,,,0,1,,
Anatomical study of the internal nasal branch of the infraorbital nerve: application to minimizing nerve damage with surgery in and around the nose,1,0,,,0,1,,
Anatomical variability and histological structure of the ulnar nerve in the Guyonâ€™s canal,0.6,0.4,,,0,1,,
Anatomical variations of the inferior thyroid artery: a cadaveric examination,0.6,0.4,,,0,1,,
Apparent Diffusion Coefficient (ADC) of the vitreous humor and Susceptibility Weighted Imaging (SWI) of the retina in abused children with retinal hemorrhages,0.2,0.8,,,0,1,,
Assessing continuous quality improvement in public health: Adapting lessons from healthcare,0.2,0.8,,,1,0,,
Association between obstructive sleep apnea and acute kidney injury in critically ill patients: a propensity-matched study,0.166666667,0.833333333,,,0,1,,
Association between timing of intubation and outcome in critically ill patients: a secondary analysis of the ICON audit,0.111111111,0.888888889,,,0,1,,
Blog fog? Using rapid response to advance science and promote debate,0.5,0.5,,,1,0,,
"Brain Activation and Psychomotor Speed in Middle-Aged Patients with Type 1 Diabetes: Relationships with Hyperglycemia and Brain Small Vessel Disease (vol 2016, 9571464, 2016)",0.25,0.75,,,0,1,,
"C. Braz, R. Castro-Ferreira, P. Dias, S. Sampaio, J. Teixeira Faculdade de Medicina da Universidade do Porto, Portugal E-mail address: carolina. c. braz@ gmail. com",0.5,0.5,,,0,1,,
Certain Rounding Model With Software Prompting Improves Patient Rounds And Process Of Care In Icu,0.333333333,0.666666667,,,0,1,,
Cigarette stick as valuable communicative real estate: a content analysis of cigarettes from 14 low-income and middle-income countries,0.5,0.5,,,1,0,,
Clinical significance of serum cortisol levels following surgery for congenital heart disease,0,1,,,0,1,,
Combined heart and liver transplantation in highly sensitized patients: protection of the cardiac allograft from antibody mediated rejection by initial liver implantation,1,0,,,0,1,,
Confirmed disability improvement in patients treated with fingolimod in phase 3 and extension trial programmes for up to 96 months,1,0,,,1,0,,
Congenital absence of the palmaris longus muscle: A meta-analysis comparing cadaveric and functional studies,0,1,,,0,1,,
Contrast‚Äêenhanced ultrasound and elastography imaging of the neonatal brain: a review,0,1,,,0,1,,
Corrigendum to ‚ÄúBrain Activation and Psychomotor Speed in Middle-Aged Patients with Type 1 Diabetes: Relationships with Hyperglycemia and Brain Small Vessel Disease‚Äù,0.25,0.75,,,0,1,,
