Publication Title,Author_female,Author_male,Fork_female,Fork_male
37th International Symposium on Intensive Care and Emergency Medicine (part 3 of 3),1.0,0.0,0.0,1.0
A Novel GABAA Receptor Î±5 Subunit-Selective Allosteric Modulator That Does Not Cross The Blood-Brain Barrier Relaxes Airway Smooth Muscle Contracted With Diverse Ligands,0.6,0.4,0.0,1.0
A cardiology PA home care program,0.0,1.0,0.0,1.0
A population-based analysis of germline BAP1 mutations in melanoma,0.2857142857142857,0.7142857142857143,0.0,1.0
A screen for combination therapies in BRAF/NRAS wild type melanoma identifies nilotinib plus MEK inhibitor as a synergistic combination,0.5517241379310345,0.4482758620689655,0.0,1.0
A22 HEALTH SERVICES HIGHLIGHTS IN CRITICAL CARE: Certain Rounding Model With Software Prompting Improves Patient Rounds And Process Of Care In Icu,1.0,0.0,0.0,1.0
Alterations in Cerebral Ventricle Size Over Time in Children with Congenital Heart Disease,0.4,0.6,0.0,1.0
An analysis of purchase price of legal and illicit cigarettes in urban retail environments in 14 low‚Äêand middle‚Äêincome countries,0.2,0.8,1.0,0.0
An efficient method for generation of bi-allelic null mutant mouse embryonic stem cells and its application for investigating epigenetic modifiers,0.2857142857142857,0.7142857142857143,0.0,1.0
An interprofessional quality improvement initiative to standardize pediatric extubation readiness assessment,0.0,1.0,0.0,1.0
Anatomical study of the internal nasal branch of the infraorbital nerve: application to minimizing nerve damage with surgery in and around the nose,1.0,0.0,0.0,1.0
Anatomical variability and histological structure of the ulnar nerve in the Guyonâ€™s canal,0.6,0.4,0.0,1.0
Anatomical variations of the inferior thyroid artery: a cadaveric examination,0.6,0.4,0.0,1.0
Apparent Diffusion Coefficient (ADC) of the vitreous humor and Susceptibility Weighted Imaging (SWI) of the retina in abused children with retinal hemorrhages,0.2,0.8,0.0,1.0
Assessing continuous quality improvement in public health: Adapting lessons from healthcare,0.2,0.8,1.0,0.0
Association between obstructive sleep apnea and acute kidney injury in critically ill patients: a propensity-matched study,0.16666666666666666,0.8333333333333334,0.0,1.0
Association between timing of intubation and outcome in critically ill patients: a secondary analysis of the ICON audit,0.1111111111111111,0.8888888888888888,0.0,1.0
Blog fog? Using rapid response to advance science and promote debate,0.5,0.5,1.0,0.0
"Brain Activation and Psychomotor Speed in Middle-Aged Patients with Type 1 Diabetes: Relationships with Hyperglycemia and Brain Small Vessel Disease (vol 2016, 9571464, 2016)",0.25,0.75,0.0,1.0
